X,Y,OBJECTID,FULL_ADDRESS,Name,PID,BWID,Address,DateAdded,DateDeleted,GlobalID
-80.7289098645036,35.1207947821082,204395,555 W JOHN ST,Aldi,21301119,,361628,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{95E23BBE-B8C9-4852-9E10-1D5F86DD85BE}
-80.9850865839792,35.1003644977509,211569,12830 WALKER BRANCH DR,Target,21906111,300704097,468900,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{C3A0A45E-45CA-4E9C-8E06-E0523C7FEE10}
-80.8857460140454,35.0825842324995,214575,317 S POLK ST,Food Lion,22113202,100037580,439468,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{29AC6E0D-B2F5-4C5D-8F51-93A429396753}
-80.8718815126646,35.0869552537713,214597,9101 PINEVILLE-MATTHEWS RD,Bi-Lo,22114203,,214022,1970/01/01 00:00:00+00,2020/10/15 00:00:00+00,{FDB3B59F-6D84-435A-BDAF-758ED9D25440}
-80.848553688608,35.0864791599572,217518,7625 PINEVILLE-MATTHEWS RD,The Fresh Market,22144110,300178761,359026,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{4C68EE5D-7AF8-4BE0-8397-65B2BD4DC7E0}
-80.8767338465769,35.0744992290874,218022,11715 CAROLINA PLACE PY,BJ's Wholesale Club,22151304,300172859,344579,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{615204E8-70EA-4E49-A6F6-1E425AB900CA}
-80.8489983449847,35.0531366353321,219482,15007 JOHN J DELANEY DR,Harris Teeter,22317207,100036948,345602,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{3CADCF43-BF29-42C6-A2AF-F33589D81145}
-80.841174046227,35.0691106173783,220167,12235 NORTH COMMUNITY HOUSE RD,Earth Fare ,22323109,,449872,1970/01/01 00:00:00+00,2020/10/15 00:00:00+00,{FE317399-4C67-4ABF-B7FB-166A056DCD56}
-80.8156149409418,35.0532888728245,220579,8620 CAMFIELD ST,Bi-Lo,22328431,,363185,1970/01/01 00:00:00+00,2020/10/15 00:00:00+00,{478B9E6B-66FD-4977-90FE-E3EF215DF7AE}
-80.8166781985456,35.0599180027126,223972,7852 REA RD,Harris Teeter,22504119,100036516,339645,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{06158432-731E-45BC-94A4-6E9E9035C5BB}
