NPA,m50_2013,r50_2013,m52_2016,r52_2016,m52_2015,r52_2015,m52_2013,r52_2013,m48_2018,r48_2018,m48_2017,r48_2017,m48_2016,r48_2016,m48_2015,r48_2015,m48_2014,r48_2014,m48_2012,r48_2012,m48_2010,r48_2010,m72_2018,r72_2018,m72_2017,r72_2017,r73_2015,r73_2014
NPA,Arts_Participation_2013,Arts_Participating_Households_2013,311_Requests_2016,311_Calls_2016,311_Requests_2015,311_Calls_2015,311_Requests_2013,311_Calls_2013,Voter_Participation_2018,Voters_Participating_2018,Voter_Participation_2017,Voters_Participating_2017,Voter_Participation_2016,Voters_Participating_2016,Voter_Participation_2015,Voters_Participating_2015,Voter_Participation_2014,Voters_Participating_2014,Voter_Participation_2012,Voters_Participating_2012,Voter_Participation_2010,Voters_Participating_2010,Board_Committee_Participation_2018,Board_Committee_Participants_2018,Board_Committee_Participation_2017,Board_Committee_Participants_2017,Neighborhood_Organizations_2015,Neighborhood_Organizations_2014
91,6,51,37.4,901,33.1,798,32.1,761,58,658,16,241,73,880,17,186,52,527,75,922,45,474,1,2,0,1,1,1
92,12,123,4.4,106,3.2,76,4,76,57,736,10,178,68,990,7,74,40,352,80,696,35,202,0,1,0,1,1,0
93,5,33,6,82,7.2,98,5.8,79,42,193,4,33,63,395,3,16,27,116,64,341,24,96,2,3,2,3,0,0
94,5,18,55.1,607,53.9,592,58.4,636,50,328,18,150,75,542,19,124,54,348,74,598,42,304,1,1,0,0,2,3
95,7,49,22,368,18.7,313,19.3,323,58,416,13,132,69,565,15,102,48,309,67,567,34,270,1,1,1,2,0,0
96,6,90,15.9,703,16.6,709,18.8,642,58,1211,13,364,73,1608,10,178,47,737,75,1298,36,528,0,1,0,2,1,1
97,10,151,24.5,930,21.4,813,21.4,810,63,1299,18,469,75,1691,15,271,51,878,78,1581,45,848,1,3,1,2,3,4
98,8,71,29.3,825,20.8,570,17.5,463,61,1039,17,335,69,1195,11,164,44,613,80,1071,43,471,0,0,0,0,1,1
99,21,129,57.6,884,53,812,50.9,783,70,713,29,371,76,816,29,275,57,512,75,821,46,474,1,1,1,1,5,4
100,4,27,53.2,923,48.6,838,51,851,61,571,21,265,65,792,18,202,48,526,78,888,48,473,1,2,1,2,1,1
101,0,3,5.6,131,4.9,115,6.6,150,46,224,14,95,65,346,12,52,38,155,74,332,25,93,0,1,0,1,1,1
102,4,18,28.9,427,27.2,401,27.1,391,55,313,14,105,62,445,13,84,45,263,75,451,39,206,0,0,0,0,0,0
103,1,3,23,362,18.8,295,20.1,304,48,320,11,86,61,347,8,37,41,180,76,374,32,123,0,0,0,0,0,0
105,26,124,10.8,184,10.6,145,13.4,138,60,777,16,229,78,1038,15,141,49,376,83,546,45,214,1,2,1,1,1,1
106,3,22,9.5,154,11.6,188,15.8,249,42,147,6,35,54,258,6,21,30,97,62,229,23,66,0,0,0,0,0,0
107,5,49,6.6,93,3.2,72,4,88,49,445,8,99,60,598,9,73,41,312,78,650,30,227,0,0,0,0,0,0
108,10,52,23.5,337,20.4,293,20.4,292,66,542,17,183,76,681,12,94,52,394,76,663,45,369,0,0,0,0,,1
109,28,239,10.7,274,10.3,253,15.4,354,67,377,18,118,81,1245,20,272,62,792,83,1126,51,635,0,0,1,2,3,3
110,10,77,12.8,237,15,276,12.7,236,69,614,18,199,79,852,15,138,60,532,80,842,50,483,0,0,0,0,2,3
111,7,77,21.1,632,24.5,781,21.4,617,58,1208,16,364,73,1320,12,170,47,600,77,944,41,389,1,2,0,1,0,0
112,6,33,7,108,7.3,107,8.6,119,64,633,13,159,79,820,6,47,56,405,82,637,48,325,0,0,0,0,0,0
113,7,95,36.8,1501,36.3,1456,37.1,1398,61,1516,18,535,77,1895,13,255,51,977,80,1644,40,723,0,2,0,1,0,0
114,2,6,24.4,312,22.5,281,26.3,318,40,138,8,43,56,250,7,23,33,97,70,226,26,58,0,0,0,0,1,1
115,24,361,16.8,828,17.4,843,29.3,1158,66,2005,23,815,79,2445,18,475,53,1280,85,2111,47,924,1,3,1,3,2,1
116,5,58,15.5,600,13.7,516,14.4,506,58,1025,25,508,73,1190,13,151,49,524,73,938,34,338,0,1,0,1,,1
117,6,82,31.1,1261,31.4,1251,30.9,1164,56,1379,14,424,73,1708,10,193,48,854,79,1516,39,620,0,1,0,0,2,2
118,26,106,31.1,391,28,346,32.8,395,77,637,28,270,84,728,22,175,64,476,83,679,53,426,2,3,2,3,,1
119,5,21,39.1,532,39.4,533,47.5,637,60,401,19,167,74,523,18,107,54,314,72,510,45,290,0,0,0,0,3,3
120,2,9,36.2,532,30.1,454,29.5,436,49,394,14,149,67,616,10,84,44,343,76,664,39,282,0,0,0,0,2,2
121,7,59,34.6,789,36.4,829,35.5,801,52,512,14,192,68,784,13,124,46,416,74,834,35,346,0,1,0,0,2,2
122,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
123,5,55,41.2,1046,35.3,892,34.7,879,67,1123,32,666,77,1441,33,569,63,1065,84,1555,54,973,1,3,1,3,6,3
124,3,23,56.2,1150,48.7,1008,47,956,49,507,14,198,59,801,12,137,42,482,78,891,41,373,0,0,0,0,3,3
125,4,41,38.6,1146,37.1,1091,39.2,1114,55,880,15,308,66,1292,10,178,41,662,80,1274,41,558,0,1,0,1,2,2
126,3,5,23.4,146,34.9,188,46.9,168,64,395,19,128,80,400,15,43,49,126,85,153,55,44,4,4,3,2,0,0
127,3,32,18.2,436,16.4,389,16.2,383,47,413,13,162,61,733,14,129,45,405,78,817,37,349,0,0,0,0,3,3
128,2,15,33.4,974,30.5,879,31.1,888,48,312,11,101,53,582,8,78,34,319,65,685,31,235,0,0,0,0,2,1
129,33,282,36.6,815,36.2,807,35.8,781,76,1170,34,595,85,1361,28,410,67,967,86,1381,55,865,0,1,1,2,1,1
130,21,157,2.3,41,2.6,47,1.1,19,68,967,14,231,81,1068,6,61,58,600,75,937,49,576,1,1,1,1,3,3
131,11,81,31,668,29.1,619,36.3,714,60,663,17,239,77,902,13,128,50,473,72,826,34,362,0,1,0,0,1,1
132,19,51,46.7,246,56,296,60.8,313,73,240,28,117,69,263,22,71,50,158,75,274,40,135,0,0,0,0,1,0
133,28,174,27.5,299,23.1,249,30.6,327,73,503,28,236,83,599,27,174,59,361,81,574,44,299,0,0,0,0,2,2
134,3,14,21,265,19.3,242,23.8,290,57,291,13,94,71,416,14,64,49,205,75,363,39,163,0,0,0,0,0,0
135,2,11,11.2,142,7.9,102,8.3,105,44,216,7,51,59,352,8,39,39,176,77,378,29,132,0,0,0,0,0,0
136,18,142,23.9,509,23.2,486,24.5,498,62,852,19,311,78,1101,14,165,56,611,83,998,48,512,0,0,0,0,1,1
137,5,24,37.6,647,40.9,703,40.9,694,54,440,13,141,71,654,10,77,46,320,76,602,39,252,0,0,1,1,1,1
138,2,5,55.7,428,50.6,387,52.9,405,55,172,14,65,67,249,15,47,46,133,70,245,33,96,1,1,1,1,1,1
139,4,26,40.6,679,37.8,629,39.8,666,58,504,16,184,69,674,14,120,50,406,81,742,41,344,0,0,0,0,1,1
140,5,43,41.2,1214,37.4,1104,41.4,1111,62,859,22,396,74,1197,20,274,55,712,78,1169,49,652,0,1,0,1,1,1
141,1,3,43.9,424,41.5,399,53,525,46,166,10,52,69,290,12,40,42,132,68,268,30,104,0,0,0,0,0,0
142,7,82,30.8,821,31.4,828,29.5,763,57,743,16,284,62,1013,13,182,40,529,77,1062,38,452,0,0,0,0,3,3
143,36,218,44.4,601,42.7,581,45.7,619,76,803,40,484,86,925,40,389,65,632,86,923,62,620,0,0,0,0,2,2
144,3,29,13.7,293,12.1,255,11.2,228,44,467,9,123,65,752,7,60,42,327,78,695,30,243,0,0,0,0,,0
145,7,41,8.5,145,10.6,180,10.7,178,53,430,10,108,73,623,9,67,51,344,70,622,33,279,0,0,0,0,,1
146,9,55,37,697,32.7,610,31.3,569,63,660,22,290,76,842,21,196,56,492,75,774,45,416,0,0,1,1,4,4
147,5,50,36.2,846,32.7,756,29.5,660,54,657,15,252,72,971,14,155,48,497,71,914,38,442,0,0,0,0,5,5
148,27,253,24.4,601,24.8,610,22.9,563,72,1178,29,561,81,1349,26,392,60,885,82,1339,53,775,1,3,2,4,6,7
149,18,69,6.9,63,6.5,59,17.3,132,70,420,23,160,81,488,21,108,55,268,84,403,47,184,0,0,0,0,0,0
150,3,22,36.5,676,36.7,677,37.8,692,59,542,16,200,66,769,12,121,45,426,77,761,42,382,0,0,0,0,3,3
151,25,281,23.4,813,19.2,666,20.8,713,64,1347,20,508,80,1717,19,338,51,848,84,1509,43,661,1,2,0,1,2,2
152,7,20,37.8,305,39.7,321,33.5,274,61,270,17,101,65,338,12,57,41,184,72,326,40,162,0,0,0,0,1,1
153,18,224,25.5,996,24.2,947,23.8,930,65,1489,24,654,73,1820,17,395,48,1066,82,1772,44,837,0,1,0,1,4,4
154,14,161,20.3,609,20.5,616,22.4,673,66,991,25,471,77,1269,19,269,55,756,79,1327,44,667,1,2,0,1,2,4
155,7,70,32.8,938,33,911,31.8,857,54,941,14,298,68,1361,9,146,40,584,72,1025,36,471,0,0,0,0,1,1
156,8,89,28.1,1030,24.7,872,23.5,774,59,1192,15,392,73,1546,11,191,54,873,77,1384,40,604,0,1,0,0,1,1
157,3,11,29.3,383,25.8,315,23.2,403,33,242,6,66,41,357,5,32,27,162,64,506,28,166,2,3,1,1,3,2
158,3,43,36.6,1341,35.7,1304,33.6,1209,57,1134,15,394,71,1638,13,263,49,939,79,1732,41,766,0,1,0,1,3,2
159,2,6,48,534,50.7,551,59.3,614,47,242,10,77,62,394,8,41,40,189,74,395,35,148,0,0,0,0,2,2
160,3,28,48.8,1418,47.3,1372,46.8,1342,59,919,18,379,69,1237,18,272,52,801,76,1369,42,675,0,0,0,0,1,2
161,9,96,9.2,248,7.6,202,5.7,149,55,580,14,192,66,886,10,110,42,387,80,840,36,316,0,1,0,1,0,0
162,6,39,36.5,711,31.2,606,36.4,695,63,550,19,224,71,754,17,167,52,474,81,786,46,434,1,1,1,1,1,1
163,32,152,49.1,438,39.6,357,35,301,66,556,28,277,80,724,26,168,55,338,79,458,44,264,0,0,0,0,4,2
164,4,74,24.7,1185,22,1029,20.5,987,51,538,14,224,61,785,15,158,43,419,67,807,32,342,0,1,0,1,5,4
165,1,9,16.2,398,16.6,409,15.9,385,44,309,8,89,59,535,7,52,34,260,74,544,27,182,1,2,1,2,0,0
166,3,16,16.4,207,15.9,202,17.5,218,51,283,12,90,68,458,12,66,42,227,77,473,37,199,0,0,0,0,1,1
167,4,13,17,137,19.7,159,20,159,45,159,11,54,60,230,14,44,44,135,77,265,36,104,0,0,0,0,0,0
168,4,26,33.8,545,33.2,528,36.5,573,59,434,19,194,70,584,20,148,53,388,75,659,45,377,1,1,1,1,2,1
169,21,159,8,190,8.1,178,8.8,186,59,813,16,269,76,1114,13,140,50,484,82,869,39,361,0,0,0,0,1,1
170,20,128,18.6,340,16.5,302,15.9,291,66,717,23,292,81,893,18,183,56,544,84,880,45,442,1,2,0,0,3,4
171,13,51,17.8,178,17.4,156,17.8,162,63,403,20,165,77,542,20,105,54,241,77,396,44,224,1,1,1,1,2,2
172,21,233,13.8,424,11.7,359,11.2,328,61,930,17,294,78,1157,12,153,46,556,84,1091,38,396,1,3,0,1,0,0
173,5,17,51.1,613,51.4,590,53,569,56,309,16,115,69,431,15,76,50,241,77,412,43,162,0,0,0,0,0,0
174,9,59,18.8,324,19.4,335,16.6,287,60,512,15,170,77,671,13,92,49,342,70,644,45,367,2,3,2,3,4,4
175,34,232,45,822,39.7,727,40.1,727,78,1053,35,557,85,1147,34,422,66,804,82,1110,57,735,1,2,1,2,3,3
176,23,263,27.2,824,26.3,798,26.3,798,71,1381,26,599,82,1656,21,395,56,985,82,1590,47,900,1,3,2,5,4,3
177,26,204,38,714,34.4,643,38,702,76,1023,35,585,82,1249,35,488,65,850,81,1201,56,813,0,0,0,0,5,5
178,8,78,9.3,255,7.1,173,9,190,54,611,13,166,71,612,8,52,42,207,69,436,31,160,0,0,0,0,0,0
179,40,267,45.4,726,38.3,620,38.4,619,79,955,42,579,87,1084,39,451,70,778,86,1075,64,743,2,3,1,2,8,7
