NPA,m50_2013,r50_2013,m52_2016,r52_2016,m52_2015,r52_2015,m52_2013,r52_2013,m48_2018,r48_2018,m48_2017,r48_2017,m48_2016,r48_2016,m48_2015,r48_2015,m48_2014,r48_2014,m48_2012,r48_2012,m48_2010,r48_2010,m72_2018,r72_2018,m72_2017,r72_2017,r73_2015,r73_2014
NPA,Arts_Participation_2013,Arts_Participating_Households_2013,311_Requests_2016,311_Calls_2016,311_Requests_2015,311_Calls_2015,311_Requests_2013,311_Calls_2013,Voter_Participation_2018,Voters_Participating_2018,Voter_Participation_2017,Voters_Participating_2017,Voter_Participation_2016,Voters_Participating_2016,Voter_Participation_2015,Voters_Participating_2015,Voter_Participation_2014,Voters_Participating_2014,Voter_Participation_2012,Voters_Participating_2012,Voter_Participation_2010,Voters_Participating_2010,Board_Committee_Participation_2018,Board_Committee_Participants_2018,Board_Committee_Participation_2017,Board_Committee_Participants_2017,Neighborhood_Organizations_2015,Neighborhood_Organizations_2014
71,2,29,14.7,615,14,583,11.9,489,48,398,11,146,62,672,8,74,39,325,75,743,32,228,0,0,0,0,0,0
72,11,62,6.7,178,8.5,235,13.6,177,57,853,14,250,76,1048,11,115,50,490,78,806,43,335,0,0,0,0,2,1
73,6,65,22.6,665,21.8,621,23.6,655,61,1065,15,309,70,1374,11,186,46,749,75,1233,45,659,0,1,1,2,4,5
74,14,101,38.3,436,41.4,472,36.2,404,69,534,23,215,81,658,19,130,55,356,82,616,43,305,1,1,3,3,1,1
75,26,180,8.9,184,6.3,129,7.1,126,63,755,19,268,79,924,16,157,54,517,84,874,45,411,0,1,0,1,0,0
76,15,130,10.3,345,11.3,361,15,370,62,1197,15,366,79,1630,10,163,53,784,77,1116,47,531,0,0,0,0,2,1
77,8,167,11.8,707,10.8,645,12,665,56,1526,11,410,70,2103,7,157,44,895,76,1754,38,652,1,3,1,3,2,2
78,10,91,22.6,468,19.8,406,24.8,485,61,749,18,274,75,946,14,147,51,478,77,830,44,394,0,0,0,0,0,0
79,0,1,8.8,154,7.3,126,5.7,131,34,61,3,10,47,122,4,9,23,46,59,174,15,33,0,0,0,0,0,0
80,5,59,5,109,4,87,4.3,95,50,453,9,110,65,685,7,58,36,272,79,694,39,241,0,1,1,2,2,2
81,15,70,20.8,244,20,235,21.5,253,71,510,25,226,78,619,17,116,56,349,82,552,51,320,0,0,0,0,3,3
82,9,83,12.3,389,16.3,411,10.7,271,61,855,17,306,72,1093,12,148,48,493,76,858,43,385,1,2,1,2,1,1
83,9,26,4.8,41,4.7,40,2.9,25,41,101,6,23,73,431,6,31,50,231,72,405,46,234,0,0,0,0,2,2
84,4,10,3,19,7.3,51,1.2,9,64,79,7,12,72,194,6,14,47,106,70,236,40,137,0,0,0,0,0,0
85,1,6,55.9,1113,62.9,1245,62.7,1231,35,451,12,193,64,769,12,132,39,418,74,891,36,386,1,1,1,1,2,2
86,2,21,14,441,12.4,387,12.9,373,51,405,8,95,58,570,7,48,34,223,73,467,25,109,0,1,0,1,1,1
87,12,80,26.3,436,22.4,371,23.6,393,63,412,20,175,73,532,24,141,54,315,72,500,41,276,2,4,2,3,1,1
88,1,3,80.1,972,66.8,810,66.4,849,52,333,11,105,66,507,11,75,44,282,72,549,33,217,0,0,0,0,2,2
89,6,34,43.3,662,39.5,605,43.2,649,59,428,18,172,74,606,17,123,52,370,74,625,44,357,1,1,1,1,1,1
90,4,36,22.8,456,26.8,536,24.5,483,61,445,21,217,68,554,21,134,48,285,69,507,39,245,0,0,1,1,1,2
