NPA,m5_2019,r5_2019,m5_2018,r5_2018,m5_2017,r5_2017,m5_2016,r5_2016,m5_2015,r5_2015,m5_2013,r5_2013,m5_2011,r5_2011,m30_2019,r30_2019,m30_2018,r30_2018,m30_2017,r30_2017,m30_2016,r30_2016,m30_2015,r30_2015,m30_2013,r30_2013,m30_2011,r30_2011,m6_2019,m6_2018,m6_2017,m6_2016,m6_2015,m6_2013,m6_2011,m7_2019,m7_2018,m7_2017,m7_2016,m7_2015,m7_2013,m7_2011,m53_2018,r53_2018,m53_2017,r53_2017,m53_2016,r53_2016,m53_2015,r53_2015,m53_2013,r53_2013,m8_2018,r8_2018,m8_2017,r8_2017,m8_2016,r8_2016,m8_2015,r8_2015,m8_2014,r8_2014,m8_2013,r8_2013,m8_2012,r8_2012,m8_2011,r8_2011,m9_2018,r9_2018,m9_2017,r9_2017,m9_2016,r9_2016,m9_2015,r9_2015,m9_2014,r9_2014,m9_2013,r9_2013,m9_2012,r9_2012,m9_2011,r9_2011,m83_2018,r83_2018,m83_2017,r83_2017,m83_2016,r83_2016,m83_2015,r83_2015,m83_2013,r83_2013,m83_2011,r83_2011,m69_2017,r69_2017,m69_2016,r69_2016,m69_2015,r69_2015,m69_2013,r69_2013,m69_2011,r69_2011,m76_2015,m76_2013,m68_2018,r68_2018,m68_2016,r68_2016,m68_2015,r68_2015,m68_2013,r68_2013,m68_2011,r68_2011,m82_2017,r82_2017,m82_2013,r82_2013,m29_2018,m29_moe_2018,m29_2017,m29_moe_2017,m31_2018,m31_moe_2018,m31_2017,m31_moe_2017,m40_2018,m40_moe_2018,m40_2017,m40_moe_2017
275,2.29,896,2.3,895,2.3,895,2.3,895,2.3,895,2.3,895,2.3,895,49.67,445,50,445,50,445,50,445,50,445,50,445,50,445,2793,2789,2787,2783,2778,2765,2754,28,27,26,25,24,22,20,11,47,11,48,10,44,9,41,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,6,1.02,4,1.79,7,2.05,8,1.79,7,2.82,11,1.54,6,1.28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2,0.7,3,1.6,7,0.7,3,260786,228167,0,0,0.11,1,0.11,1,0.45,4,0,0,0,0,6,55,39,0,43,12,95,6,95,6,1132,42,1021,125
276,1.62,666,1.6,669,1.6,669,1.6,668,1.6,668,1.6,668,1.6,669,100,666,100,669,100,669,100,668,100,668,100,668,100,669,2132,2160,2157,2155,2158,2154,2152,23,22,21,20,19,17,15,18,120,17,114,17,113,16,105,14,94,0,0,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0.73,3,1.95,8,1.46,6,2.19,9,2.44,10,1.46,6,1.95,8,0.98,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2,1.4,9,1.5,10,1.6,11,175509,158891,0,0,0.45,3,0,0,0,0,0,0,0,0,0,0,76,1,66,9,100,0,100,0,1823,90,1768,48
277,1.03,950,0.9,816,0.9,792,0.8,740,0.7,665,0.7,602,0.6,533,100,950,100,816,100,791,100,737,100,665,100,602,100,533,2377,2215,2206,2189,2113,2099,2037,13,15,14,14,14,14,13,18,146,17,133,18,131,17,113,17,100,9.9,91,6.09,56,1.41,13,6.19,57,8.25,76,5.43,50,4.23,39,2.61,24,0.33,3,5.76,53,0.76,7,0.22,2,0.22,2,0.33,3,0.22,2,0.65,6,1.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,5,1.5,10,1,6,1.5,8,185769,180875,0,0,0.14,1,0.15,1,0,0,0,0,0,0,0,0,95,1,87,12,100,0,100,0,-,**,1697,151
278,4.96,860,4.9,852,4.9,852,4.9,852,4.9,852,4.9,852,4.9,841,19.07,164,18,156,18,156,18,155,18,156,18,156,17,145,2134,2140,2140,2143,2140,2140,2114,16,16,15,13,13,11,9,25,39,23,36,22,34,19,29,13,20,5.19,9,0,0,0,0,0,0,0,0,0.58,1,0,0,9.25,16,0.58,1,0.58,1,0.58,1,0,0,0.58,1,0,0,0,0,1.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,3,1.9,3,1.9,3,2.1,3,153083,147938,0,0,0,0,0.12,1,0.23,2,0,0,0,0,0,0,19,1,24,9,85,6,88,7,1085,38,1068,43
279,7.37,870,7.4,870,7.4,870,7.4,870,7.4,870,7.4,870,7.4,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1,0,0,0,0,0,0,81.32,96,0,0,,,,,,,,,,,,,0,0,0.8,3,1.1,4,0.8,3,2.1,8,106594,105393,0,0,0.11,1,0.11,1,0.23,2,0,0,0,0,0,0,23,1,18,7,88,8,88,8,1199,68,1112,48
280,0.44,407,0.5,411,0.5,408,0.4,409,0.5,408,0.4,398,0.4,401,100,407,100,411,100,408,83,340,100,408,100,398,100,401,1501,1526,1524,1559,1525,1513,1502,26,25,25,22,23,21,20,36,147,36,148,35,120,36,147,35,141,0.11,1,0.11,1,0.11,1,0,0,0.22,2,0.11,1,0,0,0,0,0.11,1,0.33,3,0.98,9,0.76,7,0.33,3,0.22,2,0.33,3,0.22,2,2.43,1,0,0,2.94,1,0,0,2.51,1,0,0,0,0,2.5,10,3.9,16,2.5,10,2.8,11,85500,72033,1.95,8,2.44,10,1.96,8,1.26,5,0.25,1,0,0,0,0,49,1,49,9,92,8,92,7,866,106,842,93
281,2.58,482,2.6,482,2.6,482,2.6,482,2.6,482,2.6,482,2.5,461,0.21,1,1,5,1,5,1,5,1,5,1,5,0,2,1544,1487,1487,1487,1487,1487,,63,37,36,35,34,32,,20,1,20,1,20,1,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,1,0,0,1.6,3,0,0,0,0,0,0,18.17,34,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2.8,8,0.7,2,2.1,6,2.1,6,112354,109545,0,0,0.41,2,0.41,2,0.21,1,0,0,0,0,0,0,37,1,44,15,84,6,89,7,1266,95,1243,105
282,1.57,546,1.6,546,1.5,537,1.5,514,1.5,505,1.4,501,1.4,483,100,546,100,546,100,536,100,514,100,505,100,501,100,483,1826,1819,1820,1845,1826,1819,1798,22,21,20,20,20,18,16,23,128,22,116,23,116,20,99,18,90,0,0,1.15,4,2.87,10,5.46,19,1.44,5,0.57,2,2.59,9,2.3,8,0.29,1,0.57,2,1.15,4,0.86,3,1.43,5,0.86,3,0.86,3,0.57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,10,2.6,13,1.5,7,132778,130734,0,0,0.78,4,0.4,2,0.2,1,0,0,0,0,0,0,72,1,76,11,98,3,98,4,1277,248,1189,583
283,2.43,1056,2.4,1054,2.4,1054,2.4,1050,2.4,1050,2.4,1052,2.4,1057,80.3,848,80,846,80,846,80,842,80,842,80,844,80,849,1629,1627,1623,1625,1625,1621,1615,26,26,25,24,23,21,19,27,226,25,212,25,209,23,196,22,189,0.46,2,0.23,1,0.23,1,0.92,4,0,0,0.23,1,0,0,0.46,2,1.61,7,1.84,8,3.45,15,0.23,1,1.84,8,1.15,5,0.46,2,1.61,7,1.18,1,0,0,0,0,0,0,2.37,2,0,0,0,0,0.8,8,2.5,25,1.3,13,1.4,14,126134,123491,0.47,5,0.86,9,0.76,8,0.67,7,0.19,2,2,22,2,22,59,1,66,9,90,5,92,4,1259,136,1237,130
284,1.27,1206,0.7,703,0.3,294,0.3,288,0.3,287,0.3,289,0.3,289,33.5,404,47,328,100,294,100,288,100,287,100,289,100,289,3864,3843,3905,3971,3918,3890,3868,17,20,21,20,20,18,16,4,14,6,19,7,20,5,15,6,17,5.99,57,37.72,359,2.52,24,40.02,381,0.53,5,0,0,0,0,0,0,2.94,28,1.47,14,2,19,0.95,9,1.79,17,1.26,12,0.63,6,0.63,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,0.4,1,0.7,2,0.4,1,501960,517232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,65,6,91,4,90,34,1645,306,1551,347
