NPA,m5_2019,r5_2019,m5_2018,r5_2018,m5_2017,r5_2017,m5_2016,r5_2016,m5_2015,r5_2015,m5_2013,r5_2013,m5_2011,r5_2011,m30_2019,r30_2019,m30_2018,r30_2018,m30_2017,r30_2017,m30_2016,r30_2016,m30_2015,r30_2015,m30_2013,r30_2013,m30_2011,r30_2011,m6_2019,m6_2018,m6_2017,m6_2016,m6_2015,m6_2013,m6_2011,m7_2019,m7_2018,m7_2017,m7_2016,m7_2015,m7_2013,m7_2011,m53_2018,r53_2018,m53_2017,r53_2017,m53_2016,r53_2016,m53_2015,r53_2015,m53_2013,r53_2013,m8_2018,r8_2018,m8_2017,r8_2017,m8_2016,r8_2016,m8_2015,r8_2015,m8_2014,r8_2014,m8_2013,r8_2013,m8_2012,r8_2012,m8_2011,r8_2011,m9_2018,r9_2018,m9_2017,r9_2017,m9_2016,r9_2016,m9_2015,r9_2015,m9_2014,r9_2014,m9_2013,r9_2013,m9_2012,r9_2012,m9_2011,r9_2011,m83_2018,r83_2018,m83_2017,r83_2017,m83_2016,r83_2016,m83_2015,r83_2015,m83_2013,r83_2013,m83_2011,r83_2011,m69_2017,r69_2017,m69_2016,r69_2016,m69_2015,r69_2015,m69_2013,r69_2013,m69_2011,r69_2011,m76_2015,m76_2013,m68_2018,r68_2018,m68_2016,r68_2016,m68_2015,r68_2015,m68_2013,r68_2013,m68_2011,r68_2011,m82_2017,r82_2017,m82_2013,r82_2013,m29_2018,m29_moe_2018,m29_2017,m29_moe_2017,m31_2018,m31_moe_2018,m31_2017,m31_moe_2017,m40_2018,m40_moe_2018,m40_2017,m40_moe_2017
117,1.73,1713,1.6,1567,1.5,1475,1.5,1479,1.5,1453,1.4,1410,1.4,1354,81.44,1395,80,1249,80,1173,78,1158,78,1135,77,1092,77,1036,2010,1992,1992,1999,1990,1988,1997,13,13,13,12,11,10,8,24,302,24,276,24,274,24,270,22,242,6.56,65,10.2,101,3.43,34,2.02,20,3.74,37,4.95,49,2.73,27,1.92,19,0.61,6,0.81,8,0.4,4,0.91,9,0.4,4,0,0,0.5,5,0.3,3,0,0,0.85,1,0.86,1,0.88,1,0,0,0.97,1,0,0,1.3,15,3.4,38,3.2,35,2.9,30,118329,101197,0,0,0.41,6,0.62,9,0.07,1,0.22,3,0,0,0,0,50,1,54,9,91,5,97,12,1256,120,1265,96
118,1.38,442,1.4,444,1.4,443,1.4,432,1.3,426,1.3,416,1.3,416,100,442,100,444,100,443,100,432,100,426,100,416,100,416,2733,2696,2696,2730,2662,2640,2605,32,31,30,30,30,28,27,11,49,10,45,11,48,10,42,10,40,0.94,3,0,0,0,0,3.44,11,2.5,8,3.13,10,0.31,1,0,0,3.13,10,4.07,13,5,16,4.69,15,2.81,9,2.81,9,3.44,11,4.07,13,4.5,2,0,0,0,0,0,0,2.4,1,0,0,0,0,0.2,1,0.9,4,0,0,0,0,369141,315407,,,0.23,1,0.23,1,0,0,0.48,2,0,0,0,0,90,2,93,6,100,0,93,16,1725,950,,
119,0.51,521,0.5,466,0.5,467,0.5,467,0.5,467,0.5,468,0.5,469,100,521,100,466,100,467,100,467,100,467,100,468,100,469,1647,1600,1598,1590,1587,1586,1583,41,45,44,43,42,40,38,20,92,19,87,20,92,19,91,19,88,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.49,5,0.49,5,0.49,5,0.59,6,0.49,5,0.1,1,0.29,3,0.49,5,0,0,0,0,0,0,0,0,0,0,2.13,1,0,0,0.4,2,1.3,6,0.2,1,1.5,7,109133,98818,0.21,1,1.93,9,1.5,7,0.64,3,0.21,1,0,0,0,0,75,1,74,18,100,0,100,0,979,155,1060,168
120,1.64,629,1.6,611,1.5,584,1.5,579,1.6,598,1.6,594,1.6,596,48.17,303,48,291,49,287,49,281,46,278,46,274,46,276,1183,1141,1157,1137,1137,1149,1148,42,45,44,44,44,44,43,57,167,56,160,57,159,53,148,59,163,2.87,11,1.05,4,0.78,3,1.57,6,0.78,3,1.04,4,0.52,2,1.31,5,1.57,6,1.57,6,2.09,8,2.09,8,1.05,4,0.26,1,1.05,4,0,0,3.44,1,3.48,1,0,0,0,0,0,0,0,0,0,0,0.4,1,1.6,4,2,5,2.4,6,78375,78083,0.98,6,3.97,23,4.68,28,4.04,24,2.01,12,53,308,53,312,24,0,26,8,92,6,90,1,763,113,795,63
121,1.94,900,1.8,826,1.8,825,1.8,824,1.8,826,1.8,825,1.8,826,71.78,646,72,597,72,596,72,594,72,597,72,596,72,597,1143,1227,1225,1226,1226,1219,1219,54,53,52,51,50,48,46,39,233,40,236,40,237,40,236,38,229,0,0,0,0,0,0,0,0,0.22,1,0.22,1,0,0,0,0,1.73,8,1.73,8,1.51,7,1.51,7,2.16,10,1.95,9,1.3,6,1.73,8,1.68,1,0,0,0,0,0,0,0,0,0,0,0.1,1,1,8,2.7,21,0.7,5,2.8,22,74135,58000,0.12,1,0.49,4,0.61,5,2.06,17,1.21,10,6,49,6,49,39,0,55,11,86,7,95,6,927,173,879,230
122,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,-,**,,
123,0.9,1086,0.9,1088,0.9,1088,0.9,1088,0.9,1088,0.9,1089,0.9,1089,74.31,807,74,808,74,808,74,808,74,808,74,809,74,809,1479,1472,1472,1472,1472,1468,1466,44,43,42,41,40,38,36,31,252,31,249,30,245,26,213,26,209,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0.74,9,0.58,7,1.24,15,0.91,11,0.74,9,0.41,5,0.49,6,0.82,10,0,0,0,0,0,0,0,0,2.47,2,1.24,1,0,0,0.8,6,1,8,1,8,1,8,63400,58056,0.83,9,1.47,16,1.29,14,0.73,8,0.83,9,9,99,9,99,53,1,52,8,95,6,95,6,875,236,775,25
124,1.25,882,1.3,885,1.3,885,1.3,888,1.3,890,1.3,890,1.3,890,62.81,554,63,557,63,557,63,560,63,562,63,562,63,562,1159,1148,1148,1147,1147,1147,1145,68,67,66,65,64,62,60,47,263,51,285,51,283,44,250,50,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,17,1.41,10,1.13,8,0.85,6,1.27,9,1.13,8,0.85,6,0.57,4,0,0,0,0,3.57,2,1.78,1,0,0,0,0,0,0,0.9,6,1.4,9,1.6,10,1.4,9,60667,70062,1.47,13,1.69,15,2.7,24,1.8,16,1.35,12,0,0,0,0,29,0,31,8,87,9,85,9,926,,836,
125,1.23,1254,1.2,1228,1.2,1190,1.1,1073,1.1,1068,1,1047,1,1029,77.99,978,78,952,78,929,87,929,87,927,87,906,86,888,1483,1462,1463,1459,1455,1443,1437,27,27,27,26,25,24,22,29,273,28,263,28,261,27,250,27,247,0.2,2,1.18,12,1.67,17,0.1,1,1.27,13,1.27,13,0.88,9,1.08,11,0.69,7,0.39,4,0.39,4,0.78,8,0.59,6,0.39,4,0.69,7,0.78,8,2.1,2,0,0,0,0,1.08,1,1.1,1,0,0,0,0,1,10,2.2,21,2.2,21,2.1,19,101512,92431,0.65,8,0.37,4,0.28,3,0.57,6,0.29,3,0,0,0,0,46,0,50,10,88,7,95,4,1115,57,1095,68
126,4.11,577,3,417,2.4,343,2.1,290,1.8,251,1.3,189,0.3,41,21.84,126,28,115,31,107,29,84,22,56,11,20,22,9,2258,2222,2238,2221,2139,1886,1247,8,8,7,8,11,24,73,3,3,4,4,8,7,11,6,10,2,4.27,6,32.02,45,44.12,62,41.13,58,34.75,49,44.68,63,12.06,17,0,0,4.98,7,16.37,23,34.15,48,38.42,54,34.15,48,44.83,63,12.1,17,0,0,0,0,0,0,11.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218393,202314,0,0,0.69,2,0.4,1,1.06,2,0,0,42,144,76,144,55,1,43,20,93,11,91,11,826,70,753,96
127,2.5,1122,2.5,1124,2.2,989,2.2,989,2.2,988,2.2,989,2.2,988,29.59,332,30,334,34,332,34,332,34,331,34,332,34,333,1633,1593,1596,1595,1594,1592,1588,41,40,39,38,37,35,33,29,96,30,98,27,91,26,87,27,88,0,0,0.22,1,0,0,0,0,0,0,0,0,0.22,1,0.22,1,1.56,7,0.67,3,0.67,3,0.89,4,0.22,1,1.11,5,0.67,3,0.89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2,0.9,3,1.5,5,1.8,6,107800,91600,1.16,13,0.81,8,0.61,6,0.51,5,0.2,2,1,6,1,6,18,1,19,7,96,4,96,5,977,44,927,43
128,3.79,1019,3.8,1018,3.8,1018,3.9,1042,3.9,1043,3.9,1044,3.9,1045,52.6,536,53,535,52,534,51,535,51,536,51,537,51,538,1131,1107,1101,1104,1103,1098,1097,59,59,58,57,56,54,52,48,256,49,263,49,261,49,262,49,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,17,6.33,17,6.7,18,2.98,8,4.46,12,1.86,5,2.6,7,2.6,7,0,0,0,0,0,0,1.87,1,1.86,1,0,0,0,0,0.2,1,1.5,8,1.5,8,3,16,47632,66500,0.49,5,4.41,46,3.07,32,2.87,30,2.87,30,1,10,1,10,23,1,24,7,86,5,92,6,821,68,740,78
129,1.79,869,1.8,869,1.8,869,1.8,869,1.8,869,1.8,869,1.8,869,82.05,713,82,713,82,713,82,713,82,713,82,713,82,713,2592,2591,2590,2589,2587,2582,2579,34,33,32,31,30,28,26,6,45,6,40,5,39,5,36,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,26,5.77,28,5.98,29,4.33,21,5.98,29,4.53,22,5.36,26,4.33,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0.1,1,0.4,3,0.1,1,342696,274506,0,0,0.12,1,0.12,1,0,0,0,0,0,0,0,0,83,1,91,4,95,7,96,3,1482,665,1101,184
130,0.26,931,0.2,833,0.2,769,0.2,766,0.2,766,0.2,762,0.2,756,85.93,800,84,702,83,637,82,630,83,635,83,631,83,625,3453,3361,3357,3338,3302,3286,3284,25,27,29,28,27,26,24,16,112,18,112,18,111,18,115,18,114,1.46,53,1.6,58,1.08,39,0.17,6,0.17,6,0.06,2,0.17,6,0.03,1,0.75,27,0.69,25,0.44,16,0.61,22,0.5,18,0.44,16,0.44,16,0.53,19,5.7,4,1.57,1,0,0,0,0,0,0,0,0,0.2,2,0.3,2,0.5,4,0.9,7,1.1,8,379228,313902,0,0,0.26,2,0.26,2,0,0,0,0,0,0,0,0,82,2,91,6,90,5,88,6,1413,161,1458,1082
131,2.97,802,3,803,3,803,3,802,2.9,791,2.8,755,2.6,709,92.89,745,93,746,93,746,93,745,93,734,92,698,92,652,1635,1635,1635,1636,1631,1614,1594,26,25,24,23,22,21,20,17,126,16,118,15,112,14,102,12,84,0,0,0,0,0,0,0,0,8.89,24,13.7,37,7.78,21,5.19,14,1.85,5,2.22,6,0.74,2,2.59,7,3.33,9,1.11,3,0,0,4.81,13,0,0,1.34,1,0,0,0,0,0,0,0,0,0,0,0.9,7,1.6,13,2,15,1,7,137734,128110,0.12,1,0.25,2,0.38,3,0.4,3,0,0,0,0,0,0,77,1,74,9,98,2,98,4,1344,76,1283,138
132,1.42,268,1.5,275,1.5,279,1.5,281,1.5,281,1.5,279,1.5,280,97.01,260,99,273,99,277,99,279,99,279,100,278,100,280,1300,1255,1246,1233,1222,1192,1180,66,66,65,64,63,61,59,38,103,38,104,39,110,30,85,42,117,2.65,5,1.06,2,0,0,0,0,0,0,0.53,1,0,0,0,0,3.18,6,10.6,20,5.3,10,5.3,10,4.77,9,5.3,10,4.77,9,4.24,8,25.64,7,0,0,3.58,1,0,0,0,0,0,0,0,0,0.5,1,0,0,0.9,2,0,0,208396,206812,0,0,0.71,2,0.36,1,1.08,3,0,0,0,0,0,0,65,2,61,21,83,8,84,12,1325,358,892,373
133,3.93,623,3.5,549,4,627,3.9,627,4,626,4,627,4,626,38.36,239,45,249,39,245,39,245,39,244,39,245,39,244,2644,2517,2508,2481,2426,2367,2323,53,52,52,52,51,50,48,10,26,13,31,15,37,12,29,13,33,1.26,2,0.63,1,0.63,1,1.26,2,1.89,3,2.52,4,0.63,1,0,0,10.72,17,12.61,20,14.5,23,7.57,12,17.03,27,11.35,18,6.31,10,3.78,6,12.05,3,4.08,1,4.08,1,0,0,4.08,1,0,0,0,0,0,0,0,0,0.6,3,0.2,1,562263,320790,0,0,0,0,0.32,2,0.16,1,0,0,0,0,0,0,44,1,52,5,79,5,87,22,958,68,931,72
134,4.13,477,3.9,449,3.9,449,3.9,449,3.9,449,3.9,449,3.9,449,44.65,213,41,185,41,185,41,185,41,185,41,185,41,185,1632,1600,1600,1600,1593,1590,1590,33,37,36,35,34,32,30,26,48,25,46,26,48,25,46,23,42,0,0,24.23,28,0,0,0,0,0,0,0,0,0,0,0,0,1.73,2,1.73,2,1.73,2,3.46,4,4.33,5,1.73,2,0.87,1,0.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,2,1.6,3,2.7,5,2.7,5,,,0,0,0,0,0.45,2,0.67,3,0.22,1,0,0,0,0,40,1,34,11,100,0,100,0,1128,22,1063,94
135,4.63,654,3.9,555,3.9,555,3.9,555,3.9,555,3.9,555,3.9,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,1,0,0,0,0,0.71,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,2.7,3,0,0,3.6,4,3.6,4,,,2.52,14,2.16,12,0.54,3,1.8,10,0.9,5,0,0,0,0,11,0,11,7,90,2,89,3,913,75,833,81
136,1.23,846,1.2,844,1.2,826,1.2,821,1.2,806,1.1,789,1.1,763,100,846,100,844,100,826,98,808,100,806,100,789,100,763,2163,2134,2154,2158,2139,2143,2139,17,17,16,15,14,12,11,20,168,20,164,20,158,18,142,14,113,0.44,3,0,0,1.16,8,2.03,14,2.32,16,1.74,12,1.6,11,2.32,16,1.6,11,0.73,5,1.31,9,1.02,7,0.73,5,0.44,3,1.02,7,1.45,10,1.18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1.4,11,2.2,17,0.7,5,172357,156796,0.24,2,0.12,1,0.12,1,0.38,3,0.13,1,0,0,0,0,80,1,90,7,91,13,92,9,1556,1069,1657,669
137,0.78,549,0.8,554,0.8,553,0.8,547,0.8,548,0.8,551,0.8,545,100,549,100,554,100,553,99,543,100,548,100,551,100,545,1571,1584,1584,1584,1582,1579,1572,23,23,22,21,20,18,17,35,195,36,200,36,197,34,187,33,184,0,0,0,0,0.14,1,0.82,6,0,0,0.14,1,0.69,5,0.41,3,0.43,3,0.29,2,0.14,1,0,0,0.14,1,0.41,3,0.69,5,0.27,2,10.83,6,1.81,1,0,0,0,0,0,0,1.83,1,0,0,0.9,5,3.5,19,3.1,17,1.5,8,107420,95688,0.54,3,0.55,3,0.73,4,0.73,4,0.37,2,0,0,0,0,34,0,37,17,89,13,81,18,1132,87,1135,106
138,0.5,253,0.5,249,0.5,250,0.5,251,0.5,251,0.5,251,0.5,252,100,253,100,249,100,250,100,251,100,251,100,251,100,252,1177,1144,1142,1145,1139,1138,1139,56,57,56,55,54,52,50,44,109,45,112,44,110,42,106,46,116,0.79,4,0.39,2,0,0,0,0,0,0,0,0,0,0,0,0,1.57,8,0.79,4,0.79,4,0.59,3,1.57,8,0.59,3,0.59,3,0.98,5,8.03,2,0,0,0,0,3.98,1,0,0,7.94,2,0,0,0,0,0,0,1.7,4,0.4,1,52167,,0,0,2.79,7,5.58,14,3.59,9,0.79,2,0,0,0,0,59,1,42,11,100,0,100,0,873,85,904,211
139,1.04,666,1,658,1,660,1,660,1,660,1,661,0.9,558,76.28,508,76,500,76,502,76,500,76,502,76,503,91,506,1290,1291,1287,1292,1293,1289,1290,28,28,27,26,25,24,22,33,165,33,164,33,166,33,165,33,164,0,0,0.78,5,0,0,0,0,0,0,0,0,0,0,0,0,0.63,4,0.31,2,1.25,8,0,0,0.31,2,0.63,4,0.16,1,1.1,7,0,0,3.98,2,0,0,0,0,1.99,1,0,0,0,0,1.8,9,1.8,9,1.4,7,1.6,8,60167,81500,0.3,2,1.36,9,0.76,5,0.76,5,0.36,2,0,0,0,0,44,1,35,13,94,6,91,10,719,58,947,392
140,1.12,1175,1,1076,1,1073,1,1075,1,1075,1,1075,1,994,83.91,986,92,991,92,987,92,987,92,990,92,990,100,994,1506,1495,1494,1496,1495,1487,1482,40,39,38,37,36,35,33,25,243,25,247,26,252,23,232,23,232,10.14,106,0,0,0.1,1,0,0,0.19,2,0,0,8.23,86,0,0,0.67,7,1.34,14,1.15,12,0.67,7,1.05,11,0.57,6,0.96,10,0.29,3,2.02,2,0,0,0,0,2.02,2,0,0,1.01,1,0,0,0.7,7,1.2,12,2.8,27,1.9,19,108109,96875,0.56,6,1.21,13,1.3,14,1.02,11,0.7,7,8,85,8,85,65,1,72,6,93,4,90,3,983,104,1045,78
141,0.49,335,0.5,337,0.5,338,0.5,342,0.5,340,0.5,344,0.5,360,80.6,270,81,272,81,273,81,276,81,275,81,279,82,295,1145,1123,1124,1126,1127,1129,1129,57,56,55,55,54,52,51,54,148,54,148,55,151,51,139,57,159,0.29,2,0,0,0,0,0.15,1,0,0,0,0,0,0,0.15,1,0.15,1,0.29,2,0.29,2,0.15,1,0.44,3,0.44,3,0.73,5,0.59,4,0,0,3.66,1,7.25,2,10.91,3,10.75,3,10.17,3,0,0,0.8,2,1.2,3,1.2,3,2.3,6,44500,49583,1.19,4,2.34,8,1.76,6,4.94,17,2.78,10,0,0,0,0,28,1,26,15,89,9,87,11,950,44,955,44
142,2.97,1314,2.9,1298,2.9,1299,2.9,1299,2.9,1299,2.9,1299,2.9,1299,19.94,262,20,262,20,263,20,263,20,263,20,263,20,263,1237,1227,1227,1227,1227,1226,1226,45,44,43,42,41,39,37,40,106,40,106,42,110,40,104,41,107,0.23,1,0,0,1.13,5,0,0,0,0,0.23,1,0,0,0,0,0.91,4,2.26,10,0.91,4,1.81,8,0.91,4,0.91,4,1.13,5,0.68,3,0,0,3.8,1,0,0,0,0,0,0,0,0,0.3,2,0.2,1,1.4,8,1.2,7,2,12,85071,73955,0.39,5,0.69,9,1.85,24,1.08,14,0.54,7,1,10,0,0,30,1,27,5,88,7,90,7,1029,62,963,17
143,2.16,632,2.1,628,2.1,620,2.1,618,2.1,621,2.1,620,2.1,618,56.96,360,57,360,57,351,57,350,57,353,57,352,57,350,3248,3204,3216,3172,3138,3136,3115,37,36,36,36,35,33,31,5,18,6,21,7,23,7,23,6,21,0.34,1,1.02,3,2.05,6,1.02,3,0.68,2,0,0,0.34,1,0.68,2,8.2,24,11.95,35,10.59,31,8.88,26,10.24,30,6.15,18,6.15,18,7.85,23,0,0,5.7,2,5.71,2,5.67,2,0,0,0,0,0,0,0,0,0.3,2,0,0,0.2,1,376697,378159,0,0,0,0,0,0,0.16,1,0.16,1,0,0,0,0,80,1,83,13,100,0,100,0,1569,572,1674,369
144,4,981,4,988,4,983,3.9,966,3.9,955,3.8,921,3.7,914,19.67,193,20,194,19,189,18,171,17,161,16,151,16,150,1590,1584,1573,1517,1365,1278,1252,29,28,28,29,30,30,28,27,53,32,61,36,61,39,62,34,52,0.41,1,0,0,2.04,5,6.5,16,6.5,16,1.63,4,1.22,3,20.33,50,0.41,1,3.26,8,2.44,6,1.22,3,2.04,5,0.41,1,0.41,1,0.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,2,3.1,5,1.3,2,2.7,4,218667,168917,,,,,,,,,,,0,0,0,0,23,0,28,6,88,5,87,5,911,40,863,42
145,1.24,647,1.2,647,1.2,646,1.2,646,1.2,646,1.2,646,1.2,646,60.9,394,61,394,61,393,56,361,61,393,61,393,61,393,1512,1500,1495,1547,1493,1486,1486,35,34,33,33,31,29,27,30,119,31,121,27,98,31,120,32,125,0.19,1,0,0,0.19,1,0,0,0,0,0,0,0,0,0,0,0.38,2,1.15,6,1.54,8,1.35,7,0.77,4,0.38,2,0.19,1,0.96,5,0,0,0,0,0,0,0,0,0,0,0,0,0.8,5,0.6,4,1.1,7,1.9,12,2.2,14,87143,88812,,,,,,,,,,,0,0,0,0,62,1,62,9,100,0,97,5,959,127,920,110
146,1.6,695,1.6,695,1.6,695,1.5,667,1.5,661,1.5,661,1.5,643,91.08,633,91,633,91,633,91,605,91,599,90,598,90,580,2008,2003,2002,2026,1996,1991,1976,30,29,28,28,27,25,24,21,136,21,133,22,134,19,116,20,118,0,0,0.23,1,0,0,5.99,26,0,0,0,0,4.15,18,0.69,3,2.53,11,1.15,5,1.15,5,1.84,8,1.15,5,0.92,4,1.38,6,1.84,8,0,0,0,0,0,0,0,0,0,0,0,0,0.6,4,0.5,3,2.2,14,1.1,7,1.4,9,125034,127203,0.29,2,0.45,3,0,0,0.61,4,0.16,1,0,0,0,0,64,1,72,11,89,5,89,7,1550,334,1194,249
147,2.46,1118,2.5,1121,2.3,1029,2.4,1083,2.4,1069,2.3,1060,2.3,1043,49.02,548,49,551,53,542,47,513,47,499,46,490,45,473,1694,1701,1709,1699,1675,1691,1691,35,34,34,34,35,33,32,21,115,20,107,22,111,21,105,20,99,0,0,0,0,1.54,7,5.71,26,2.86,13,0.66,3,2.2,10,6.81,31,1.76,8,1.32,6,1.32,6,1.54,7,1.76,8,0.88,4,1.98,9,1.98,9,0,0,0,0,1.95,1,0,0,0,0,0,0,0.4,4,1.4,12,1.5,13,1.8,15,1.9,16,97960,82385,0.09,1,0.65,7,1.96,21,0.66,7,1.73,18,8,84,1,6,49,1,53,6,84,7,87,8,907,46,901,105
148,1.66,991,1.6,969,1.6,941,1.6,940,1.6,941,1.6,941,1.6,927,68.52,679,68,657,67,629,67,628,67,629,67,629,66,615,3169,3091,3075,3049,3045,3045,3030,24,24,24,23,22,20,19,8,54,7,42,8,48,7,42,6,40,2.01,12,3.69,22,3.02,18,0.34,2,0.17,1,0.17,1,0.84,5,2.01,12,4.19,25,2.68,16,3.35,20,2.85,17,2.85,17,2.18,13,4.19,25,1.51,9,0,0,0,0,6.37,4,1.59,1,0,0,0,0,0,0,0.2,1,0.3,2,0,0,0,0,390837,384062,0.1,1,0.11,1,0.11,1,0,0,0.11,1,0,0,0,0,61,1,67,6,92,5,94,4,1549,120,1386,89
149,1.63,450,1.6,447,1.6,447,1.6,448,1.6,448,1.5,410,1.3,371,14.44,65,14,61,14,61,14,62,14,62,14,59,10,37,2523,2492,2492,2540,2510,2452,1990,23,24,23,23,23,23,34,16,10,20,12,19,12,23,14,27,16,0.36,1,0,0,0,0,0,0,0.36,1,18.84,52,10.14,28,2.17,6,0.36,1,0.36,1,0.36,1,2.53,7,0.36,1,2.53,7,0.72,2,0,0,0,0,16.39,1,0,0,16.13,1,0,0,0,0,0,0,0.2,1,0,0,1,4,3,11,236943,244956,0,0,0,0,0,0,0,0,0.27,1,0,0,0,0,81,1,74,11,97,4,97,4,1450,326,1176,461
150,1.26,704,1.2,682,1.2,681,1.2,680,1.2,680,1.2,680,1.2,680,79.4,559,79,537,79,536,78,533,79,535,79,535,79,535,1650,1547,1551,1553,1551,1548,1545,25,26,25,24,23,21,19,25,135,24,128,23,123,22,115,21,111,0.18,1,0,0,0,0,0.18,1,0,0,0,0,0,0,0,0,1.43,8,0.72,4,0.72,4,0.9,5,1.07,6,0.18,1,0.36,2,0.36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3,2.6,14,2.6,14,3,16,103289,98250,1.03,7,1.47,10,1.03,7,0.59,4,0,0,0,0,0,0,53,1,56,12,95,7,96,7,982,193,877,217
151,2.41,1290,2.4,1295,2.4,1283,2.1,1124,2.1,1124,2.1,1124,2.1,1094,71.78,926,72,931,72,919,81,908,81,908,81,909,80,879,2803,2807,2818,2808,2809,2810,2794,17,16,15,14,13,11,10,15,138,13,116,13,118,11,103,10,89,0,0,0,0,2.43,13,1.31,7,0.37,2,26.92,144,2.43,13,3.93,21,0.75,4,1.87,10,2.62,14,12.9,69,3.93,21,1.87,10,6.54,35,2.62,14,0,0,0,0,0,0,1.1,1,0,0,0,0,0,0,0.1,1,0.6,7,0.5,6,0.5,5,281775,277184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,92,7,100,0,100,0,2167,120,1707,301
152,0.53,313,0.5,300,0.5,294,0.5,294,0.5,295,0.5,294,0.5,300,100,313,100,300,100,294,99,290,100,295,100,294,100,300,1924,1847,1838,1838,1840,1838,1825,25,25,24,23,23,21,19,27,81,25,74,24,69,25,74,24,70,1.85,11,1.35,8,0.34,2,0.17,1,0,0,0.17,1,0,0,0.17,1,1.01,6,1.52,9,0.67,4,0.51,3,0.85,5,0,0,0.51,3,0.51,3,3.33,1,0,0,0,0,0,0,17.01,5,0,0,0,0,0.7,2,1,3,1.4,4,2,6,135706,130033,0.33,1,2.04,6,2.37,7,1.36,4,0.33,1,0,0,0,0,81,2,85,14,93,4,93,4,1683,538,1368,465
153,1.51,1223,1.5,1226,1.5,1226,1.5,1225,1.5,1225,1.5,1225,1.5,1225,100,1223,100,1226,100,1226,100,1223,100,1225,100,1225,100,1225,2859,2863,2859,2863,2859,2853,2851,17,16,15,14,13,11,9,15,182,13,160,13,161,12,146,10,119,0,0,0,0,0.37,3,0,0,0.12,1,0,0,0,0,0,0,2.09,17,0.98,8,1.35,11,1.23,10,0.98,8,0.74,6,0.98,8,1.85,15,3.26,4,0,0,0,0,0.82,1,0,0,0,0,0,0,0.2,3,1.4,17,1.1,14,1.8,22,252616,237492,0.16,2,0.24,3,0.08,1,0.16,2,0,0,0,0,0,0,76,2,78,8,96,3,96,3,1734,116,1723,123
154,1.57,1149,1.6,1144,1.6,1144,1.6,1143,1.6,1143,1.6,1144,1.6,1143,65.1,748,65,743,65,743,65,740,65,742,65,743,65,742,2293,2286,2285,2287,2286,2278,2280,21,20,19,18,17,15,13,18,134,17,129,16,119,15,113,14,105,0,0,0.14,1,0,0,0,0,0.14,1,0,0,0,0,0,0,0.55,4,1.23,9,0.55,4,0.96,7,0.82,6,0.82,6,1.23,9,0.96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,10,1.4,11,1.8,14,184008,177145,0.09,1,0.26,3,0.44,5,0.35,4,0,0,0,0,0,0,42,0,51,7,93,6,97,3,1402,76,1363,97
155,1.13,1410,1.1,1406,1.1,1399,0.8,1036,0.8,1001,0.8,989,0.8,966,65.96,930,66,926,66,919,82,849,81,815,81,803,81,780,1847,1841,1844,1830,1802,1792,1776,21,20,19,20,20,18,16,21,196,20,184,21,178,22,176,19,155,0.24,3,0.08,1,1.12,14,30.34,378,1.77,22,1.04,13,0.8,10,1.04,13,0.32,4,0.48,6,0.24,3,0.32,4,0.32,4,0.08,1,0.48,6,0.72,9,0,0,0,0,1.18,1,0,0,0,0,0,0,0,0,0.8,7,2.2,18,1.6,13,1.2,9,137170,132372,0.21,3,0.39,4,0.4,4,0.51,5,0.31,3,0,0,0,0,52,4,53,6,98,2,100,0,1048,153,963,135
