NPA,m33_2018,m33_moe_2018,m33_2017,m33_moe_2017,m34_2018,m34_2017,m34_2016,m34_2015,m34_2013,m34_2011,m35_2018,m35_2017,m35_2016,m35_2015,m35_2013,m35_2011,m70_2015,r70_2015,m36_2018,r36_2018,m36_2017,r36_2017,m36_2016,r36_2016,m36_2015,r36_2015,m36_2013,r36_2013,m36_2011,r36_2011,m44_2015,r44_2015,m44_2014,r44_2014,m44_2013,r44_2013
NPA,Long_Commute_2018,Long_Commute_moe_2018,Long_Commute_2017,Long_Commute_moe_2017,Bicycle_Friendliness_2018,Bicycle_Friendliness_2017,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2018,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2015,Sidewalk_Miles_2015,Transit_Proximity_2018,Transit_Proximate_Units_2018,Transit_Proximity_2017,Transit_Proximate_Units_2017,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
320,31,17,32,14,1.7,1.7,1.6,1.7,1.6,1.7,1.24,1.24,1.24,1.24,1.24,1.24,70.1,5.2,100,452,100,445,100,446,100,467,100,476,100,475,91,730,95,764,106,851
321,42,11,51,13,1.6,1.6,1.6,1.6,1.6,1.6,1.22,1.22,1.22,1.22,1.22,1.22,61.2,3.8,100,479,100,476,100,478,100,477,100,473,100,481,21,410,20,402,17,352
322,77,11,79,11,1.6,1.6,1.6,1.6,1.6,1.6,1.04,1.04,1.04,1.04,1.04,1.04,20.1,1.1,79.06,336,79.11,337,79.11,337,79.11,337,79.58,339,79.58,339,7,7,9,9,10,10
323,80,11,85,9,1.5,1.5,1.6,1.5,1.5,1.5,1.07,1.07,1.07,1.07,1.07,1.07,49.1,5.5,99.44,889,99.44,885,99.44,885,99.44,886,99.44,886,99.44,886,36,401,42,466,46,508
324,67,13,71,4,1.1,1.1,1,1.1,1.2,1.2,1.05,1.05,1.05,1.05,1.13,1.12,7.0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
325,61,9,54,5,1.7,1.5,1.5,1.5,1.5,1.5,1.15,1.15,1.15,1.15,1.16,1.17,25.2,3.5,78.41,886,78.37,884,78.46,885,78.37,884,78.11,874,77.82,870,105,315,105,315,7,14
326,21,15,20,16,1.9,1.9,1.9,1.9,2,1.8,1.32,1.32,1.32,1.32,1.32,1.32,80.0,3.4,100,410,100,410,100,411,100,410,100,411,100,412,97,1259,103,1334,98,1379
327,70,13,76,13,1.7,1.7,1.6,1.6,1.7,1.7,1.21,1.21,1.21,1.21,1.21,1.21,37.7,2.0,98.56,617,100,626,100,626,100,626,100,626,100,627,24,266,26,291,15,151
328,66,19,63,14,1.5,1.5,1.5,1.5,1.6,1.6,1.25,1.25,1.25,1.26,1.28,1.28,21.0,3.5,83.07,314,82.63,314,82.94,316,82.72,316,82.72,316,82.98,317,21,206,25,221,19,173
329,65,8,52,17,1.5,1.5,1.5,1.4,1.4,1.4,1.06,1.06,1.06,1.04,1.04,1.04,57.9,5.3,78.36,601,78.27,598,78.89,598,78.79,598,78.98,601,78.98,601,58,405,62,431,72,502
