NPA,r1_2015,r1_2013,m47_2018,r47_2018,m47_2017,r47_2017,m47_2016,r47_2016,m47_2015,r47_2015,m47_2013,r47_2013,m47_2010,r47_2010,m47_2000,r47_2000,m2_2018,m2_moe_2018,m2_2017,m2_moe_2017,m12_2018,m12_moe_2018,m12_2017,m12_moe_2017,m13_2018,m13_moe_2018,m13_2017,m13_moe_2017,m14_2018,m14_moe_2018,m14_2017,m14_moe_2017,m14_2010,m14_2000,m15_2018,m15_moe_2018,m15_2017,m15_moe_2017,m15_2010,m15_2000,m16_2018,m16_moe_2018,m16_2017,m16_moe_2017,m16_2010,m16_2000,m17_2018,m17_moe_2018,m17_2017,m17_moe_2017,m17_2010,m17_2000,m18_2018,m18_moe_2018,m18_2017,m18_moe_2017,m18_2010,m18_2000,m11_2018,r11_2018,m11_2017,r11_2017,m11_2016,r11_2016,m11_2015,r11_2015,m11_2013,r11_2013,m11_2011,r11_2011
NPA,Area,Area,Population_Density_2018,Population _2018,Population_Density_2017,Population _2017,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2018,Age_of_Residents_moe_2018,Age_of_Residents_2017,Age_of_Residents_moe_2017,Youth_Population_2018,Youth_Population_moe_2018,Youth_Population_2017,Youth_Population_moe_2017,Older_Adult_Population_2018,Older_Adult_Population_moe_2018,Older_Adult_Population_2017,Older_Adult_Population_moe_2017,White_Population_2018,White_Population_moe_2018,White_Population_2017,White_Population_moe_2017,White_Population_2010,White_Population_2000,Black_Population_2018,Black_Population_moe_2018,Black_Population_2017,Black_Population_moe_2017,Black_Population_2010,Black_Population_2000,Asian_Population_2018,Asian_Population_moe_2018,Asian_Population_2017,Asian_Population_moe_2017,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2018,All_Other_Races_moe_2018,All_Other_Races_2017,All_Other_Races_moe_2017,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2018,Hispanic_Latino_moe_2018,Hispanic_Latino_2017,Hispanic_Latino_moe_2017,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2018,Vacant_Land_Area_2018,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
86,99,99,32,3138,32,3144,32,3145,32,3129,29,2896,23,2297,23,2323,26,1,27,2,31,5,30,6,3,2,6,3,16,5,15,5,8.3,9,21,9,25,10,40.1,61.4,22,3,29,11,16.9,2.4,0,2,9,8,3.5,3.7,31,13,22,12,31.2,23.5,1,1,1,1,1,1,1,1,1,1,1,1
87,196,196,9,1698,9,1664,8,1658,8,1655,9,1668,8,1554,7,1357,51,11,45,15,8,7,13,8,25,3,23,2,44,4,41,5,35.1,45.9,26,10,34,18,22.7,40.1,18,5,13,13,22.7,2.4,0,3,9,17,3,3.2,5,5,2,3,16.5,8.3,2.9,6,2.9,6,2.9,6,2.9,6,2.9,6,2.9,6
88,430,430,3,1268,3,1253,3,1214,3,1213,3,1279,3,1182,4,1620,41,16,34,9,24,9,35,5,19,7,15,5,16,10,9,6,5.1,6.8,51,20,61,19,82.4,85.9,11,2,24,15,8.7,4.2,0,3,5,10,1.9,2.2,0,1,0,1,1.9,0.9,11.2,48,11.2,48,11.3,48,11.3,48,11.3,48,11.3,48
89,238,238,7,1546,6,1542,6,1529,6,1531,6,1502,6,1456,6,1441,41,8,44,12,24,9,22,10,13,4,15,4,24,5,23,5,29.8,47.8,54,20,56,19,41.4,38.8,3,2,2,3,3.7,4.7,0,3,4,6,5.6,1.8,13,9,15,13,19.4,6.9,7.4,18,7.4,18,7.4,18,7.4,18,7.4,18,7.4,18
90,250,250,8,2016,8,2004,8,2002,8,1997,8,1969,7,1776,8,1978,35,4,33,4,16,4,18,5,11,4,9,3,32,4,32,6,26,35.2,22,6,25,9,28.1,22.2,5,2,6,4,5.7,2.4,0,2,4,5,1.6,1.7,36,14,33,12,38.6,38.5,3,8,3,8,3,8,3,8,3,8,3,8
91,283,283,9,2431,9,2424,9,2411,9,2410,8,2369,8,2250,7,2035,37,5,36,5,28,7,32,7,12,4,10,4,42,5,42,4,36.6,61.7,24,11,27,10,33.7,27.6,0,2,0,0,1.1,2.3,0,2,3,4,4.1,1.4,29,13,29,13,24.5,7,4.1,12,4.1,12,4.1,12,4.1,12,4.1,12,4.1,12
92,272,270,10,2642,9,2406,9,2406,9,2381,7,1894,6,1495,0,3,32,3,30,1,11,4,15,4,6,3,3,3,30,5,31,7,44,,49,9,44,9,40.5,,2,2,3,2,5.8,,0,2,10,6,3.1,,12,5,12,6,6.7,,19.8,54,19.8,54,19.8,54,19.9,54,19.9,54,19.9,54
93,586,586,2,1344,2,1376,2,1373,2,1365,2,1353,2,1236,2,1165,33,3,32,5,26,7,24,8,3,3,3,3,20,8,19,8,17.3,51.9,37,13,30,9,51.8,28.2,8,2,12,9,6.4,7.7,0,3,1,4,3.4,2.2,31,16,37,18,21.1,10,26.1,153,25.3,148,25.3,148,26.1,153,27.2,160,27.2,160
94,656,656,2,1075,2,1104,2,1101,2,1098,2,1089,2,1035,2,1177,31,9,31,11,33,6,33,7,13,3,13,3,2,2,1,1,3.8,3.9,63,14,69,17,75.7,92.4,0,3,0,1,1.4,0.6,0,3,6,9,1,1.2,33,12,24,12,18.2,1.9,16.9,111,16.9,111,16.9,111,16.9,111,16.9,111,16.9,111
95,442,444,4,1673,4,1673,4,1673,4,1673,4,1673,4,1597,2,1012,32,2,33,3,28,11,30,7,4,4,7,4,34,10,37,2,35.7,49.5,10,9,14,11,30.7,28.6,25,5,25,11,13.3,12.9,0,2,2,4,2.7,1.9,27,23,22,19,17.6,7.2,2.8,12,2.8,12,2.8,12,2.8,12,2.8,12,2.8,12
96,719,723,7,4681,6,4562,6,4417,6,4272,5,3410,4,3232,2,1750,29,2,29,4,23,5,26,7,5,3,4,2,21,4,25,5,28.5,47.7,38,8,40,8,41.6,39.4,10,1,7,5,6.5,5.6,1,2,1,2,2.7,1.4,29,8,27,6,20.7,6,28.2,202,28.2,202,28.2,202,28,202,28,202,28,202
97,549,544,7,3916,7,3850,7,3797,7,3794,7,3782,7,3551,4,2404,37,4,39,5,18,5,20,6,10,3,10,4,50,6,60,7,54.4,77.1,26,9,30,11,23.2,11.7,1,2,1,2,3.7,4.7,0,2,3,4,2.2,1.5,20,11,7,8,16.6,5.1,4.3,24,4.3,24,4.3,24,4.4,24,4.4,24,4.4,24
98,1602,1602,2,3306,2,2862,2,2820,2,2739,2,2648,1,2394,0,346,26,5,33,3,33,9,25,6,2,2,7,4,21,8,26,9,23.5,83.5,71,19,55,15,49.7,9.8,1,2,1,2,2.1,0,0,2,0,2,4.1,0.6,7,7,18,12,20.6,6.1,29,465,29,465,29,464,29.2,468,29.2,468,29.2,468
99,397,397,4,1584,4,1575,4,1534,4,1533,4,1538,4,1468,4,1638,41,11,39,5,17,5,16,4,23,4,21,7,68,1,62,22,64.5,75.2,24,12,24,12,20.1,14.5,0,2,1,2,4.1,4.5,0,2,0,3,2.2,1.7,6,7,13,16,9.1,4.2,3.4,14,3.4,14,3.4,14,2.8,11,2.8,11,2.8,11
100,719,719,2,1733,2,1748,2,1736,2,1724,2,1668,3,1813,3,1960,34,6,43,13,27,8,24,8,13,4,14,3,6,5,6,4,7.1,13.2,51,10,56,8,75.9,79.7,5,2,5,6,1.9,0.3,0,2,1,3,2.4,1.3,36,12,32,22,12.7,5.4,2.8,20,2.8,20,2.8,20,2.8,20,2.8,20,2.8,20
101,126,126,18,2331,18,2335,19,2339,18,2330,18,2284,14,1819,17,2183,31,4,30,2,32,5,31,5,4,2,3,2,15,9,15,8,1.5,3.4,27,7,28,8,34.2,46.1,0,2,0,1,0,0.3,0,2,3,6,1.3,0.6,58,13,54,12,63,49.5,6.6,8,6.6,8,6.7,8,6.7,8,6.7,8,6.7,8
102,197,197,8,1482,8,1479,8,1480,7,1474,7,1443,7,1337,7,1347,29,4,28,7,24,5,23,5,11,4,9,4,6,4,5,4,12.6,23.8,83,10,83,13,51.6,52.6,0,2,0,1,4.2,4.4,0,2,1,3,3.7,3.2,11,7,11,7,27.8,16.1,5.2,10,5.2,10,5.2,10,5.2,10,5.2,10,5.2,10
103,134,136,12,1560,12,1556,12,1572,12,1567,11,1514,10,1346,7,894,37,5,37,6,21,7,19,6,16,7,16,7,11,6,7,3,8.3,9.8,55,17,57,16,51.9,59.1,5,3,6,6,1.5,11.2,0,3,0,4,0.8,3.5,29,13,30,16,37.5,16.4,19.6,26,19.6,26,19.6,26,19.4,26,14.8,20,14.8,20
105,222,222,9,2074,8,1879,8,1701,6,1364,5,1031,4,847,2,507,33,2,34,3,21,7,17,6,5,4,7,4,62,6,60,8,62.1,58.8,20,7,22,6,21.7,33.5,7,2,6,6,5.4,3.9,0,3,4,8,2,3,9,8,8,7,8.7,0.8,5.4,12,5.4,12,5.4,12,10.1,22,10.1,22,10.1,22
106,152,152,11,1607,11,1614,11,1614,11,1615,10,1579,8,1256,10,1511,32,7,30,5,24,9,27,12,5,5,6,6,10,5,14,6,16.2,29.3,22,11,23,11,25.9,22.6,4,2,3,5,3.7,8.9,0,2,6,8,2.5,2.1,58,19,54,24,51.7,37.1,1.1,2,1.1,2,1.1,2,1.1,2,1.1,2,1.1,2
107,160,160,8,1354,9,1404,9,1404,14,2228,14,2228,12,1985,9,1425,28,4,28,2,28,11,23,9,3,3,2,2,25,10,29,11,28.8,55.8,38,13,40,14,44.3,23.9,6,2,4,6,2.1,6,0,2,1,3,7.1,2.3,30,21,27,20,17.7,12,3.1,5,3.1,5,3.1,5,3.1,5,5.5,9,5.5,9
108,572,572,3,1436,3,1436,3,1433,3,1436,3,1431,2,1319,2,1121,39,6,39,11,16,8,14,8,8,6,9,6,64,20,65,19,55.3,64,14,10,28,24,25.5,18.6,9,1,5,6,3.3,5,1,3,0,4,3,2.6,11,12,2,5,12.8,9.9,17.9,103,17.9,103,17.9,102,17.9,102,17.3,99,17.3,99
109,1246,1241,2,2676,2,2652,2,2554,2,2460,2,2304,2,2147,1,1126,46,2,43,4,28,6,29,6,12,3,11,3,67,2,70,6,66.4,92.2,25,12,24,11,25.9,2.8,4,2,4,4,3,2.8,0,2,0,2,1.6,1.1,3,3,2,2,3,1.2,16.4,204,16.4,204,16.4,204,16.5,204,16.5,204,16.5,204
110,1393,1393,1,1865,1,1870,1,1856,1,1844,1,1860,1,1671,1,807,39,4,39,3,16,5,17,6,13,5,12,3,47,6,50,6,57.9,93.1,28,11,26,9,30.6,4.6,6,2,5,8,2.4,1,5,2,10,14,2.2,0.1,9,6,9,6,6.9,1.3,20.1,280,20.1,280,20.1,280,20.1,280,20.1,280,20.1,280
111,752,764,5,3842,4,3047,4,3002,4,3194,4,2888,3,2274,1,451,34,3,35,4,30,4,29,4,11,3,11,2,15,7,20,6,24.7,59.7,47,15,38,16,41.2,25.1,14,3,16,8,12.1,8.4,0,1,3,6,2.8,1.3,20,9,22,13,19.2,5.5,38.2,287,37.9,285,37.9,285,37.5,287,26.9,206,26.9,206
112,1636,1629,1,1739,1,1690,1,1555,1,1468,1,1391,1,1280,0,733,40,8,38,6,31,10,29,9,15,8,15,6,47,8,43,4,49.3,93.5,33,18,44,18,38.9,3.2,0,3,0,1,5,1.8,0,3,14,16,2.3,0.7,17,26,0,1,4.5,0.9,31.3,512,31.3,512,31.3,512,31.4,512,31.4,512,31.4,512
113,1338,1335,3,4281,3,4209,3,4083,3,4007,3,3768,3,3630,1,929,35,5,34,4,22,6,21,6,5,3,5,3,24,8,27,6,23.9,76.2,65,10,57,13,62.2,19.9,0,2,1,2,2.3,1.2,1,2,4,5,3.4,1,8,9,12,4,8.1,1.7,17.6,235,17.6,235,17.6,235,17.6,235,17.6,235,17.6,235
114,658,655,2,1548,2,1521,2,1281,2,1251,2,1210,2,1206,3,1842,27,3,30,8,36,9,28,8,4,4,7,5,7,7,4,3,9,11.7,71,9,66,13,68.9,58.4,11,2,6,7,7,4.7,0,3,2,6,3.2,1.9,10,10,21,14,11.9,23.3,21.9,144,21.9,144,21.9,144,22,144,22,144,22,144
115,718,718,7,4929,7,4929,7,4927,7,4849,6,3958,5,3312,2,1135,39,2,36,2,29,5,33,5,7,2,7,2,61,8,65,8,80.8,89.4,5,5,5,5,6.5,2.2,27,2,22,4,6.3,3.7,0,1,2,4,2.1,1.4,5,4,5,4,4.3,3.4,9,64,8.9,64,9,64,9,64,19.5,140,19.5,140
116,3659,3659,1,4199,1,4053,1,3870,1,3774,1,3514,1,2817,0,1335,31,3,30,3,30,5,30,4,6,2,5,2,21,3,20,4,13.2,21.8,40,7,42,6,39,58.5,2,2,2,2,1.9,1.4,0,2,0,1,1.7,3.2,37,6,35,7,44.2,15.1,25.3,927,25.3,924,25.3,927,25.3,927,25.3,927,25.3,927
117,990,990,4,4294,4,4041,4,4052,4,3980,4,3762,3,3308,1,622,30,3,29,3,28,5,29,5,5,2,3,2,12,4,13,4,14.4,68.9,71,11,71,6,67.2,15.9,2,2,2,2,2.3,5.9,0,2,2,3,1.7,2.6,12,7,12,5,14.4,6.7,6.3,63,6.3,63,6.3,63,6.3,63,6.2,62,6.2,62
118,320,320,4,1292,4,1288,4,1256,4,1238,4,1204,4,1159,4,1193,45,7,45,8,22,6,24,7,16,5,17,5,73,9,77,13,84.6,90.5,2,3,3,3,3.9,2.2,21,2,18,9,5.7,3.1,0,3,0,4,1.1,1.6,3,4,2,3,4.7,2.6,4,13,4,13,4,13,4,13,4,13,4,13
119,1018,1018,1,1360,1,1367,1,1360,1,1354,1,1340,1,1311,1,1083,33,6,32,10,32,3,30,8,9,4,12,5,21,10,41,14,41.1,69.7,13,13,11,14,23,7.9,51,18,31,13,21.1,18.9,0,2,2,5,3,2.5,13,13,14,15,11.9,1,12,122,12,122,12,122,22.7,231,22.7,231,22.7,231
120,383,383,4,1554,4,1493,4,1468,4,1510,4,1479,4,1451,2,711,33,12,32,13,35,10,39,7,17,5,20,5,4,3,2,2,1,1.1,96,5,94,8,92.2,97.9,0,3,0,1,1,0,0,3,0,3,2.6,0.8,0,1,4,6,3.2,0.1,11.7,45,11.7,45,11.7,45,11.7,45,11.7,45,11.7,45
121,463,462,5,2295,5,2282,5,2281,5,2275,5,2255,4,2072,3,1601,39,16,35,10,14,7,21,6,19,7,14,6,14,6,21,5,21.6,33.4,69,17,48,14,49.1,52.5,0,3,0,1,2.8,2,0,3,1,4,2.1,2.7,15,15,31,26,24.3,9.4,8.4,39,8.4,39,8.4,39,8.4,39,8.4,39,8.4,39
122,3815,3804,0,0,0,0,0,0,0,0,0,0,0,0,0,117,,,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,72.7,#DIV/0!,#DIV/0!,,,,17,#DIV/0!,#DIV/0!,,,,2.8,#DIV/0!,#DIV/0!,,,,3,#DIV/0!,#DIV/0!,,,,4.2,1.6,62,1.6,62,1.6,62,1.6,62,1.6,62,1.6,62
123,1213,1213,2,2544,2,2552,2,2541,2,2530,2,2535,2,2443,2,2280,34,12,43,10,21,9,17,6,25,4,28,3,0,0,0,0,1.8,2.6,99,4,99,2,91.8,96.3,0,2,0,0,0.3,0,0,2,0,2,1.8,0.4,0,0,0,0,4.3,0.7,13.8,167,13.8,167,13.8,167,13.8,167,13.8,167,13.8,167
124,708,708,3,2091,3,2052,3,2045,3,2070,3,2035,3,1809,3,2014,39,,34,,23,7,25,7,15,5,11,3,22,11,20,10,18.6,29.6,70,12,76,10,68.2,58.3,0,2,0,1,2.8,4.3,0,2,1,4,4.3,1.6,7,7,4,6,6.2,6.2,11.7,83,11.7,83,11.7,83,11.7,83,11.7,83,11.7,83
125,1019,1020,3,3398,3,3303,3,2967,3,2939,3,2841,3,2935,1,1370,30,9,28,10,35,11,38,10,6,3,6,3,9,5,7,4,14.4,41.6,69,14,74,10,70.3,48.3,3,2,3,3,3,4.9,0,2,0,2,3.2,1.6,17,8,16,9,9.1,3.6,13.2,134,13.2,134,13.2,134,13.1,134,13.1,134,13.3,136
126,141,141,6,905,5,741,4,623,4,539,3,358,0,13,7,929,33,2,32,5,23,6,23,8,5,6,14,8,30,5,17,6,0,1.2,63,16,77,22,100,84.9,1,4,0,2,0,0.2,2,4,6,11,0,0.5,4,4,1,1,0,13.3,80.6,113,80.6,113,80.6,113,81.4,114,50.5,71,50.5,71
127,449,449,6,2722,5,2396,5,2400,5,2371,5,2363,6,2613,5,2214,31,4,32,5,29,6,26,6,12,4,11,4,13,4,13,4,20.4,44,47,11,46,11,45.2,28.9,1,2,3,2,2.4,1.7,0,2,3,4,2.2,1.9,37,10,36,11,29.7,23.7,26.4,119,26.4,119,26.4,119,26.4,119,10.5,47,10.5,47
128,269,269,11,2869,11,2860,11,2917,11,2887,11,2854,9,2503,10,2761,29,5,32,6,33,6,31,6,6,2,5,2,10,3,10,2,13.2,24.2,39,7,38,10,42.2,44.8,8,1,7,8,3.4,5.3,0,2,3,4,2.4,1.2,41,10,41,13,38.8,24.5,5.2,14,5.2,14,5.2,14,5.2,14,5.2,14,5.2,14
129,485,485,5,2220,5,2223,5,2229,5,2227,5,2183,5,2184,5,2323,45,3,42,3,27,6,28,6,16,4,12,3,95,4,91,6,92.3,93.9,3,3,3,2,2.8,2,1,2,4,3,1.6,2.5,0,2,0,2,1.1,0.5,1,1,2,2,2.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0
130,3618,3617,1,1966,1,1815,1,1808,1,1808,0,1787,0,1535,0,1318,47,4,50,4,17,4,17,4,17,3,17,3,77,7,82,2,87.2,93.3,16,8,7,5,6.1,3.6,3,2,5,3,2.4,1.2,0,2,6,6,1.5,1.2,0,1,0,1,2.8,0.8,31,1120,31,1120,31,1120,31,1120,31,1120,31,1120
131,270,270,8,2168,8,2163,8,2157,8,2130,7,1968,7,1806,7,1849,36,4,36,3,27,7,29,8,4,2,3,2,60,7,55,13,53.7,70.8,17,11,21,12,23.1,18.8,1,2,2,1,4.3,4.2,1,2,1,3,2.4,1.5,19,10,22,12,16.5,4.8,13.2,36,13.2,36,13.3,36,13.3,36,13.3,36,13.3,36
132,189,189,3,517,3,523,3,527,3,529,3,515,2,458,3,593,53,11,48,16,16,13,17,13,9,11,5,8,89,19,100,0,86,77.4,0,2,0,3,5.5,10.5,0,4,0,3,2,1,0,4,0,12,0.9,1.4,11,16,0,3,5.7,9.8,0.4,1,0.4,1,0.4,1,0.4,1,0.4,1,0.4,1
133,159,159,6,942,7,1083,7,1086,7,1080,7,1070,6,983,6,934,30,5,30,5,18,7,22,9,1,4,1,2,96,6,80,32,90,91.9,0,1,6,10,3.2,3.6,1,3,3,3,2,1.9,0,3,9,16,1.2,0.3,2,2,2,2,3.6,2.3,2.6,4,2.6,4,2.6,4,2.6,4,2.6,4,2.6,4
134,116,116,11,1266,11,1264,11,1265,11,1252,11,1218,7,794,8,965,28,10,28,12,33,12,30,12,4,5,4,4,20,8,23,10,24.1,45.7,40,12,49,13,43.6,43.2,7,2,11,21,3.9,2.5,0,3,10,20,3.7,1.5,23,18,7,12,24.8,7.2,11.7,14,11.7,14,11.7,14,11.7,14,11.7,14,11.7,14
135,141,141,9,1262,9,1266,9,1268,9,1284,9,1265,9,1248,9,1236,33,4,33,4,20,7,14,8,8,3,7,3,12,7,13,7,17.5,39.8,68,2,67,5,65.1,54,0,3,0,1,0.9,1,0,3,0,4,2.2,2,19,18,19,20,14.3,3.2,4.8,7,4.8,7,4.8,7,4.8,7,4.8,7,4.8,7
136,689,689,3,2194,3,2148,3,2134,3,2094,3,2033,3,1848,0,288,32,5,35,7,29,6,27,7,6,6,5,6,75,16,83,13,67.3,94.7,13,9,9,7,21.8,2.4,1,2,1,2,1.8,0,0,2,5,9,3,1.8,6,8,1,1,6.1,1,14.2,98,14.2,98,14.1,97,14.1,97,14.1,97,14.1,97
137,701,729,3,1755,2,1748,2,1723,2,1719,2,1698,3,1839,1,627,32,3,30,9,34,8,38,6,1,2,3,4,8,5,11,6,14.9,68.6,48,16,50,19,51.8,4,0,2,0,1,1.8,8.9,0,2,0,3,2.6,2.1,44,22,39,23,28.9,16.4,20.5,144,20.5,144,20.5,144,19.8,144,19.8,144,19.6,143
138,509,509,2,764,2,768,2,768,2,765,2,766,1,704,1,596,40,11,32,15,20,11,39,8,11,9,1,4,22,10,7,5,21.7,40.8,48,24,28,5,38.5,40.6,4,4,6,9,4.8,1.9,0,4,0,6,3.7,1.2,24,14,59,40,31.3,15.6,7,36,7,36,7,36,7,36,7,36,7,36
139,638,637,3,1670,3,1681,3,1674,3,1666,3,1673,2,1475,1,700,49,17,43,6,13,9,17,7,24,9,11,5,3,4,4,6,5,13.6,97,9,96,9,82.5,82.4,0,3,0,1,1.4,0,0,3,0,3,2.8,1.7,0,1,0,1,8.3,2.3,19.5,125,19.5,125,19.5,125,19.6,125,19.6,125,19.6,125
140,1045,1045,3,2919,3,2913,3,2944,3,2956,3,2684,2,2557,2,2117,37,4,37,3,23,5,24,4,11,3,11,2,23,4,22,4,30.3,52,48,5,48,6,47.2,41.4,8,2,5,4,4.8,2.4,0,2,3,4,2.3,0.9,18,4,22,7,15.4,3.3,13.5,141,13.5,141,13.5,141,13.5,141,13.5,141,12.4,130
141,679,681,1,951,1,952,1,967,1,961,1,990,1,881,1,713,48,8,41,5,8,5,16,8,14,9,17,10,36,21,35,21,17.1,34.1,44,12,53,17,62.9,47.1,3,3,4,7,3.3,6.2,0,3,0,6,1.8,3.5,17,13,8,7,14.9,9.1,12.5,85,12.5,85,12.5,85,12.5,85,12.5,85,12.5,85
142,442,442,6,2699,6,2676,6,2664,6,2635,6,2587,5,2366,5,2081,31,2,30,1,16,6,16,7,9,3,7,3,25,5,23,5,32.4,52.7,52,8,54,11,47.8,39.1,5,2,5,5,1.9,1.7,0,2,3,3,3.6,1.6,16,8,15,8,14.2,4.9,1.9,8,1.9,8,1.9,8,1.9,8,1.9,8,1.9,8
143,293,293,5,1379,5,1357,5,1354,5,1362,5,1354,5,1323,5,1334,46,8,49,11,19,7,18,8,30,7,34,7,89,5,90,5,93.3,95.9,4,5,5,7,1.7,1.2,4,2,2,3,1.9,1.2,0,3,1,4,1.3,0.6,3,3,2,2,1.9,1.1,1.6,5,1.6,5,1.6,5,2.5,7,2.5,7,2.5,7
144,246,246,9,2181,9,2176,9,2135,9,2113,8,2030,8,2055,8,1993,34,3,33,3,22,7,22,7,14,4,14,4,30,7,30,7,31.8,52.9,48,11,47,11,41.9,30.4,2,2,2,2,2.5,2.7,0,2,9,10,4.3,1.9,13,8,13,8,19.5,12.1,17.2,42,17.2,42,17.2,42,28.6,70,31.7,78,31.7,78
145,520,520,3,1717,3,1704,3,1705,3,1695,3,1667,4,1875,3,1501,33,5,34,6,32,6,34,6,10,3,9,3,28,6,34,6,36.7,75,33,12,35,11,31.5,17,4,2,1,1,1.8,1.5,0,2,2,4,4.6,3.2,32,17,29,13,25.4,3.3,14.6,76,14.6,76,14.6,76,14.6,76,14.6,76,14.6,76
146,434,434,5,1974,5,1973,4,1884,4,1867,4,1816,4,1701,2,1061,26,6,33,5,34,5,34,7,10,3,10,3,19,4,23,5,38.6,74.4,35,12,35,12,33.9,17.4,9,0,2,3,5.3,2.3,0,2,0,2,2.1,1.7,36,14,40,12,20.2,4.3,11.9,52,11.9,52,11.9,52,11.9,52,12,52,11.9,52
147,455,455,5,2435,5,2239,5,2340,5,2310,5,2234,4,2024,4,1944,43,6,43,6,14,5,15,7,14,4,13,4,40,9,37,5,39.7,65.6,44,13,50,14,36.2,24.3,5,2,2,3,3,3,0,2,2,5,4.2,1.7,9,5,9,5,16.9,5.4,9.7,44,9.7,44,9.7,44,9.7,44,9.5,43,9.7,44
148,597,597,4,2539,4,2465,4,2463,4,2465,4,2460,4,2146,3,1668,40,2,40,4,29,5,29,5,12,3,11,3,74,8,77,8,85.1,92.5,9,7,7,6,6.1,2.6,9,2,6,4,4.5,2.7,4,2,8,10,1.2,0.9,2,1,2,2,3.1,1.4,4,24,4,24,4,24,4,24,4,24,4,24
149,276,276,3,907,3,907,3,909,3,909,3,765,2,643,0,62,44,7,47,11,21,7,24,8,22,7,27,9,49,2,68,12,71.4,93.6,9,9,4,4,8.6,4.8,32,6,10,9,9,1.6,0,4,4,13,2.6,0,8,9,14,12,8.4,0,11.4,31,11.4,31,11.4,31,11.4,31,11.4,31,11.4,31
150,558,558,3,1851,3,1857,3,1853,3,1845,3,1833,3,1758,2,851,34,5,32,5,32,6,31,6,6,3,4,2,6,4,5,3,11.9,31.1,69,10,65,14,64.8,53.2,5,2,4,6,3.9,7.1,0,2,4,6,1.9,2,18,8,22,9,17.4,6.6,8.2,46,8.2,46,8.2,46,8.2,46,8.2,46,8.2,46
151,535,535,7,4002,7,3968,6,3472,6,3472,6,3436,6,3227,1,574,35,2,35,2,35,5,31,5,4,2,6,3,64,7,64,9,66.2,88,14,12,12,13,7,4.4,16,2,16,7,18.7,3.8,0,2,4,6,1.7,0.9,3,4,3,4,6.4,3,3.3,17,3.3,17,3.3,17,3.3,17,3.3,17,6.3,34
152,594,591,1,822,1,806,1,806,1,808,1,817,1,742,1,507,38,12,32,11,25,9,18,7,6,7,8,6,51,20,54,24,30.7,45.1,24,12,28,14,52.3,44.3,6,4,8,12,5.4,4.9,0,4,2,10,3.4,1.6,16,16,8,9,8.2,4.1,29.6,176,29.6,176,29.6,176,29.7,176,29.7,176,31.2,184
153,813,813,5,3911,5,3911,5,3908,5,3908,5,3908,5,3753,1,728,39,4,38,3,30,5,31,4,10,2,8,2,20,6,22,6,28.8,68.8,47,7,46,5,37.4,21.5,21,1,19,6,25,5.5,0,2,1,2,3,2.1,10,6,12,6,5.7,2.2,9.2,74,9.2,74,9.2,74,9.2,74,9.2,74,9.2,74
154,730,731,4,3009,4,3009,4,3006,4,3006,4,3009,4,2920,3,2118,32,3,32,3,28,6,29,5,8,3,8,3,31,7,27,5,43.2,68.8,37,6,41,11,29.5,20.4,22,3,22,9,18,6.7,0,2,3,4,2.7,1.8,8,6,7,6,6.5,2.3,9.9,73,9.9,73,9.9,73,9.5,69,8.5,62,9.9,73
155,1246,1246,3,3881,3,3861,2,2859,2,2759,2,2695,2,2383,1,1297,31,1,30,2,28,4,27,4,6,2,5,2,25,5,28,5,36.3,59.1,51,8,50,5,43.3,29.7,4,2,6,3,4.2,4.6,0,2,5,4,3.9,2.3,12,4,11,3,12.3,4.2,37.2,463,36.6,456,37.2,463,37.2,463,37.2,463,37.2,463
156,1117,1117,3,3780,3,3692,3,3670,3,3534,3,3299,3,2958,0,461,31,6,32,7,32,9,34,10,6,3,8,4,13,5,11,5,23.3,78.4,72,16,71,7,62.4,19.5,0,2,0,0,2.5,1.5,0,2,0,2,2.9,0.4,14,11,18,8,8.9,0.2,29.7,332,29.7,332,29.7,332,29.7,332,29.7,332,29.7,332
157,572,572,2,1289,2,1290,2,1306,2,1222,3,1737,3,1531,3,1643,31,11,31,7,22,8,20,7,10,5,11,5,12,9,17,10,9.4,3.8,83,11,81,11,84.6,75.1,0,3,0,2,0.5,0.7,0,3,2,8,1.1,1.2,3,3,1,1,4.4,19.4,6.7,38,6.7,38,6.7,38,6.7,38,4.5,26,4.5,26
158,1231,1221,3,3746,3,3710,3,3662,3,3658,3,3601,3,3368,1,1697,35,4,33,4,25,6,27,6,9,3,7,2,8,4,6,2,9.8,26.7,77,9,81,9,77.8,68.2,3,2,2,2,2.3,2.2,0,2,0,2,2.8,1.3,12,9,11,3,7.4,1.6,6.7,83,6.7,83,6.7,83,6.8,83,6.8,83,6.8,83
