NPA,r1_2015,r1_2013,m47_2018,r47_2018,m47_2017,r47_2017,m47_2016,r47_2016,m47_2015,r47_2015,m47_2013,r47_2013,m47_2010,r47_2010,m47_2000,r47_2000,m2_2018,m2_moe_2018,m2_2017,m2_moe_2017,m12_2018,m12_moe_2018,m12_2017,m12_moe_2017,m13_2018,m13_moe_2018,m13_2017,m13_moe_2017,m14_2018,m14_moe_2018,m14_2017,m14_moe_2017,m14_2010,m14_2000,m15_2018,m15_moe_2018,m15_2017,m15_moe_2017,m15_2010,m15_2000,m16_2018,m16_moe_2018,m16_2017,m16_moe_2017,m16_2010,m16_2000,m17_2018,m17_moe_2018,m17_2017,m17_moe_2017,m17_2010,m17_2000,m18_2018,m18_moe_2018,m18_2017,m18_moe_2017,m18_2010,m18_2000,m11_2018,r11_2018,m11_2017,r11_2017,m11_2016,r11_2016,m11_2015,r11_2015,m11_2013,r11_2013,m11_2011,r11_2011
NPA,Area,Area,Population_Density_2018,Population _2018,Population_Density_2017,Population _2017,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2018,Age_of_Residents_moe_2018,Age_of_Residents_2017,Age_of_Residents_moe_2017,Youth_Population_2018,Youth_Population_moe_2018,Youth_Population_2017,Youth_Population_moe_2017,Older_Adult_Population_2018,Older_Adult_Population_moe_2018,Older_Adult_Population_2017,Older_Adult_Population_moe_2017,White_Population_2018,White_Population_moe_2018,White_Population_2017,White_Population_moe_2017,White_Population_2010,White_Population_2000,Black_Population_2018,Black_Population_moe_2018,Black_Population_2017,Black_Population_moe_2017,Black_Population_2010,Black_Population_2000,Asian_Population_2018,Asian_Population_moe_2018,Asian_Population_2017,Asian_Population_moe_2017,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2018,All_Other_Races_moe_2018,All_Other_Races_2017,All_Other_Races_moe_2017,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2018,Hispanic_Latino_moe_2018,Hispanic_Latino_2017,Hispanic_Latino_moe_2017,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2018,Vacant_Land_Area_2018,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
51,282,282,8,2172,5,1447,5,1457,5,1384,5,1368,4,1211,3,848,33,1,33,1,4,3,6,3,7,4,5,3,61,9,64,11,48.9,10.9,28,10,26,7,44.3,85.6,3,2,5,5,2.6,0.2,0,2,3,4,2.3,1.4,4,3,3,2,1.9,1.9,8.3,24,8.3,24,8.4,24,8.4,24,8.4,24,8.6,24
52,501,501,4,2033,3,1620,3,1458,3,1457,5,2365,4,2017,5,2327,26,4,25,5,32,7,38,6,2,2,2,2,13,7,9,4,17.7,25.7,23,8,28,8,39.6,26.9,13,2,12,13,1.8,3.6,0,2,7,11,3.5,3.2,40,18,44,15,37.5,40.7,3.4,17,3.4,17,3.4,17,3.4,17,3.4,17,3.4,17
53,437,437,7,3070,7,3035,8,3511,8,3491,7,2980,6,2727,6,2650,33,4,30,4,32,5,35,6,10,3,9,3,6,2,6,2,6,9.3,51,6,53,6,57.5,75.9,0,2,0,0,0.6,0.5,3,2,4,7,1.8,1.8,38,8,38,9,34.1,12.6,16,70,16,70,16,70,16,70,15.9,69,15.9,69
54,834,833,2,1824,2,1813,2,1780,2,1771,2,1764,2,1587,1,1116,40,13,36,8,26,13,24,8,9,7,12,7,11,10,13,8,25.3,57.2,53,26,34,21,27.1,27.2,0,3,0,1,2.3,1.3,0,3,5,8,3,4.8,29,26,48,38,42.3,9.5,32.5,271,32.5,271,32.6,271,32.6,271,32.6,271,32.6,271
55,553,553,4,2026,4,2028,4,2028,4,2020,4,2001,4,1937,4,2115,45,6,45,6,18,4,19,5,25,6,23,5,58,8,56,18,75.8,80.8,2,3,3,3,6.1,4.6,26,6,27,21,5.4,10.3,0,2,9,12,3.1,1.6,9,3,6,5,9.4,2.7,7,39,7,39,7,39,7,39,7,39,7,39
56,293,293,3,775,3,775,3,775,3,775,3,765,2,694,2,700,45,10,46,10,21,8,24,7,23,7,20,7,76,3,75,3,75.2,81,10,8,5,5,9.2,8.4,1,3,6,7,2.2,7.1,0,3,10,18,2.4,0.9,3,4,3,5,11,2.6,14.2,42,14.2,42,14.2,42,14.2,42,14.2,42,14.2,42
57,168,168,10,1632,10,1638,10,1635,10,1611,10,1597,6,1071,11,1771,31,6,28,7,25,8,27,7,9,4,7,4,25,12,24,12,19.6,22.9,14,6,18,10,42.5,37.7,24,6,16,11,4.2,3.1,0,3,4,8,3.6,2.4,33,17,39,15,30.1,33.9,9.4,16,9.4,16,9.4,16,9.4,16,9.4,16,9.4,16
58,219,219,7,1530,7,1523,7,1519,7,1508,7,1521,6,1324,6,1355,32,3,30,4,23,3,28,2,11,3,5,3,11,3,9,3,19.8,32.4,34,11,36,12,47.4,26.9,33,8,24,19,4.4,3.9,0,2,1,3,1.8,3.2,21,11,31,16,26.6,33.6,2.9,6,2.9,6,2.9,6,2.9,6,2.9,6,2.9,6
59,345,345,8,2643,8,2646,7,2568,7,2515,7,2383,7,2388,7,2245,30,3,31,2,26,6,26,6,9,3,8,3,15,5,17,3,22.4,45.1,50,9,47,8,52.4,38.8,2,2,2,2,3.1,4.2,0,2,4,6,3.4,3.2,31,18,30,17,18.8,8.8,14.7,51,14.7,51,14.8,51,14.8,51,14.8,51,14.8,51
60,801,801,7,5314,7,5314,5,4352,4,3544,4,3225,4,3334,3,2561,23,0,23,1,7,3,7,3,2,2,1,1,29,5,33,9,39.9,60.1,46,9,44,8,22.9,18.7,10,1,9,5,17.7,5.4,7,1,6,6,3,2.7,7,3,9,3,16.5,13.2,22.8,183,22.8,183,22.8,183,22.8,183,23.2,186,23.2,186
