NPA,m28_2018,r28_2018,m28_2017,r28_2017,m28_2016,r28_2016,m45_2018,r45_2018,m45_2017,r45_2017,m45_2016,r45_2016,m45_2015,r45_2015,m45_2014,r45_2014,m45_2011,r45_2011,m46_2018,r46_2018,m46_2017,r46_2017,m46_2016,r46_2016,m46_2015,r46_2015,m46_2013,r46_2013,m46_2011,r46_2011,m74_2018,r74_2018,m74_2017,r74_2017,m74_2016,r74_2016,m74_2015,r74_2015,m74_2013,r74_2013,m54_2016,m54_2014,m54_2012,m54_2010,m55_2016,m55_2014,m55_2012,m56_2016,m56_2014,m56_2012,m57_2016,m57_2014,m57_2012,m57_2010,m81_2017,m81_2015,m81_2014
NPA,Low_Cost_Healthcare_Proximity_2018,Low_Cost_Healthcare_Proximate_Units_2018,Low_Cost_Healthcare_Proximity_2017,Low_Cost_Healthcare_Proximate_Units_2017,Low_Cost_Healthcare_Proximity_2016,Low_Cost_Healthcare_Proximate_Units_2016,Grocery_Proximity_2018,Grocery_Proximate_Units_2018,Grocery_Proximity_2017,Grocery_Proximate_Units_2017,Grocery_Proximity_2016,Grocery_Proximate_Units_2016,Grocery_Proximity_2015,Grocery_Proximate_Units_2015,Grocery_Proximity_2014,Grocery_Proximate_Units_2014,Grocery_Proximity_2011,Grocery_Proximate_Units_2011,Pharmacy_Proximity_2018,Pharmacy_Proximate_Units_2018,Pharmacy_Proximity_2017,Pharmacy_Proximate_Units_2017,Pharmacy_Proximity_2016,Pharmacy_Proximate_Units_2016,Pharmacy_Proximity_2015,Pharmacy_Proximate_Units_2015,Pharmacy_Proximity_2013,Pharmacy_Proximate_Units_2013,Pharmacy_Proximity_2011,Pharmacy_Proximate_Units_2011,Park_Proximity_2018,Park_Proximate_Units_2018,Park_Proximity_2017,Park_Proximate_Units_2017,Park_Proximity_2016,Park_Proximate_Units_2016,Park_Proximity_2015,Park_Proximate_Units_2015,Park_Proximity_2013,Park_Proximate_Units_2013,Births_to_Adolescents_2016,Births_to_Adolescents_2014,Births_to_Adolescents_2012,Births_to_Adolescents_2010,Low_Birthweight_2016,Low_Birthweight_2014,Low_Birthweight_2012,Prenatal_Care_2016,Prenatal_Care_2014,Prenatal_Care_2012,Age_of_Death_2016,Age_of_Death_2014,Age_of_Death_2012,Age_of_Death_2010,Public_Health_Insurance _2017,Public_Health_Insurance _2015,Public_Health_Insurance _2014
373,0,0,0,0,0,0,23,258,23,313,29,318,29,318,29,317,21,230,23,255,0,0,27,306,28,306,28,306,27,304,42,471,42,462,41,453,41,449,41,451,0,0,0,0,7,0,7.3,73.7,90.6,92.7,77,80,82,77,3,3,2
374,29,329,36,409,8,91,66,756,66,564,50,563,49,562,49,559,64,739,66,749,51,577,51,576,51,575,50,572,51,581,100,1140,100,1137,100,1137,100,1138,100,1135,5.1,8.4,9.2,10.8,11.5,8.4,12.6,57.7,49.4,52.9,72,70,69,67,45,47,33
375,10,91,9,78,0,0,39,367,39,282,32,281,32,280,32,279,41,354,43,405,37,325,37,324,37,322,37,321,38,323,15,138,9,74,9,74,8,73,9,76,0,0,0,0,7.4,6.7,3.6,92.6,90,100,83,82,85,78,1,1,1
376,4,66,4,56,4,56,25,374,25,359,24,361,21,302,21,304,22,309,25,372,24,356,24,358,21,299,12,178,12,171,26,389,26,388,26,394,27,394,28,411,1.1,2.4,1.1,2.9,9.6,9.8,8.6,70.2,75.6,79.6,71,65,65,67,13,16,10
377,0,0,0,0,0,0,4,74,4,3,0,3,0,3,0,3,4,70,0,0,3,62,3,62,3,62,3,62,3,63,0,0,0,0,0,0,0,0,0,0,0.7,2,3.9,1.9,14.1,8.5,10.1,71.1,63.4,73.2,63,69,72,66,12,16,9
378,5,126,6,133,42,919,47,1130,47,860,41,886,40,863,39,833,40,835,75,1798,70,1508,73,1582,73,1560,72,1529,65,1364,98,2337,97,2107,97,2108,98,2110,100,2114,0,1.2,0,0,12,8.7,5.1,80.9,90.1,96.8,72,69,69,77,3,4,4
379,6,75,8,102,11,149,18,242,18,156,10,135,10,132,9,123,15,195,41,557,43,574,39,520,37,487,36,478,36,466,8,107,9,122,9,122,9,122,9,122,0,0,0,0,12.2,6.5,2.6,81.6,91.3,92.1,77,74,71,77,1,1,1
380,0,0,1,13,1,13,5,89,5,135,7,135,7,135,7,135,5,97,6,118,2,39,6,117,6,117,6,117,6,117,3,59,3,58,3,58,3,58,2,43,0,1.2,0,0,4.4,8.3,5.6,77.2,83.3,87.6,72,74,75,70,2,2,1
381,0,0,32,640,33,687,73,1436,73,1601,50,1036,41,709,35,607,29,510,59,1167,63,1278,60,1233,15,269,47,823,47,823,100,1976,82,1652,80,1656,96,1681,96,1682,1,1,2.1,3.2,4.8,3,12.6,73.3,77.8,87.4,70,72,74,73,9,11,8
382,70,648,74,675,67,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,924,100,916,100,915,100,931,100,933,2.3,3.5,9.3,8.9,13.6,11.8,20.4,64.8,70.6,64.8,63,66,68,67,23,26,22
383,81,1282,84,1343,86,1362,52,823,52,495,31,495,31,495,31,495,24,390,62,989,78,1242,78,1242,78,1242,78,1242,48,770,99,1568,99,1568,99,1568,99,1568,63,1008,6.1,4.5,2.1,4.4,9.2,4.5,7.6,55.8,57.9,60.4,72,74,68,68,18,24,18
384,55,1548,62,1605,62,1129,67,1885,67,1386,66,1208,67,1208,59,856,55,813,69,1953,74,1928,70,1273,70,1273,76,1105,64,932,100,2832,100,2593,100,1821,100,1813,100,1460,0,0,0,0,12.5,9.1,0,72.9,84.8,65.5,57,44,,,3,3,4
