NPA,m37_2018,m37_moe_2018,m37_2017,m37_moe_2017,m80_2018,m80_2017,m80_2016,m80_2015,m80_2013,m80_2011,m38_2018,m38_moe_2018,m38_2017,m38_moe_2017,m75_2015,r75_2015,m75_2014,r75_2014,m75_2013,r75_2013,m75_2012,r75_2012,m75_2011,r75_2011,m75_2010,r75_2010,m75_2009,r75_2009,m75_2008,r75_2008,m75_2007,r75_2007,m75_2006,r75_2006,m75_2005,r75_2005,m75_2004,r75_2004,m75_2003,r75_2003,m75_2002,r75_2002,m19_2018,r19_2018,m19_2017,r19_2017,m19_2016,r19_2016,m19_2015,r19_2015,m19_2014,r19_2014,m19_2013,r19_2013,m19_2012,r19_2012,m19_2011,r19_2011,m41_2018,r41_2018,m41_2017,r41_2017,m41_2016,r41_2016,m41_2015,r41_2015,m41_2013,r41_2013,m41_2011,r41_2011,m42_2018,m42_2017,m42_2016,m42_2015,m42_2013,m42_2011,m79_2018,r79_2018,m79_2017,r79_2017,m79_2016,r79_2016,m79_2015,r79_2015,m79_2014,r79_2014
NPA,Household_Income_2018,Household_Income_moe_2018,Household_Income_2017,Household_Income_moe_2017,Public_Nutrition_Assistance_2018,Public_Nutrition_Assistance_2017,Public_Nutrition_Assistance_2016,Public_Nutrition_Assistance_2015,Public_Nutrition_Assistance_2013,Public_Nutrition_Assistance_2011,Employment_Rate_2018,Employment_Rate_moe_2018,Employment_Rate_2017,Employment_Rate_moe_2017,Job_Density_2015,Jobs_2015,Job_Density_2014,Jobs_2014,Job_Density_2013,Jobs_2013,Job_Density_2012,Jobs_2012,Job_Density_2011,Jobs_2011,Job_Density_2010,Jobs_2010,Job_Density_2009,Jobs_2009,Job_Density_2008,Jobs_2008,Job_Density_2007,Jobs_2007,Job_Density_2006,Jobs_2006,Job_Density_2005,Jobs_2005,Job_Density_2004,Jobs_2004,Job_Density_2003,Jobs_2003,Job_Density_2002,Jobs_2002,Commercial_Construction_2018,Commercial_Construction_Permitted_Units_2018,Commercial_Construction_2017,Commercial_Construction_Permitted_Units_2017,Commercial_Construction_2016,Commercial_Construction_Permitted_Units_2016,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Construction_2014,Commercial_Construction_Permitted_Units_2014,Commercial_Construction_2013,Commercial_Construction_Permitted_Units_2013,Commercial_Construction_2012,Commercial_Construction_Permitted_Units_2012,Commercial_Construction_2011,Commercial_Construction_Permitted_Units_2011,Commercial_Size_2018,Commercial_Size_Total_2018,Commercial_Size_2017,Commercial_Size_Total_2017,Commercial_Size_2016,Commercial_Size_Total_2016,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Size_2013,Commercial_Size_Total_2013,Commercial_Size_2011,Commercial_Size_Total_2011,Commercial_Building_Age_2018,Commercial_Building_Age_2017,Commercial_Building_Age_2016,Commercial_Building_Age_2015,Commercial_Building_Age_2013,Commercial_Building_Age_11,Fincancial_Services_Proximity_2018,Financial_Services_Proximate_Units_2018,Fincancial_Services_Proximity_2017,Financial_Services_Proximate_Units_2017,Fincancial_Services_Proximity_2016,Financial_Services_Proximate_Units_2016,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Fincancial_Services_Proximity_2014,Financial_Services_Proximate_Units_2014
103,35556,10199,40570,12177,30,29,37,36,32,35,90,27,93,14,1.4,185,1.3,174,1.5,200,1.6,214,2.1,291,2,273,2.1,283,2.4,329,2.5,339,1.6,213,0.9,118,0.8,110,1.2,158,1,138,0,0,1.49,2,2.23,3,0,0,0,0,0,0,5.16,7,0.74,1,8506,42529,8506,42530,8506,42529,8506,42529,7157,50096,6687,53497,32,31,30,29,33,31,100,480,100,480,100,479,100,479,100,480
105,115223,12581,102353,14150,8,9,11,13,16,19,100,32,99,6,0.2,52,0.4,94,0.2,40,0.1,20,0.1,14,0.2,43,0.2,38,0.2,34,0.1,15,0.1,21,0.3,56,0.8,177,1,215,0.4,79,0.45,1,0.9,2,0.9,2,7.22,16,0.9,2,0.45,1,0.45,1,0.9,2,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,40,39,38,37,35,33,9,90,10,84,11,84,10,66,12,63
106,27516,4594,26011,3314,23,24,27,27,26,32,95,27,89,7,4.8,725,4.3,647,4.4,663,4.2,640,3.5,533,3.9,591,3.8,583,4.3,659,4.5,680,6.5,984,5.9,899,5.5,829,6.7,1025,5.3,812,1.98,3,3.29,5,7.9,12,5.27,8,3.29,5,6.59,10,6.59,10,0.66,1,17506,665214,17506,665228,17493,664734,17442,662814,17432,662418,18931,662588,45,44,44,43,41,39,100,729,100,729,100,729,100,729,100,729
107,41386,4216,33438,12489,23,17,27,16,20,24,94,19,99,3,2.5,395,2.5,394,2.5,393,2.1,331,2.1,336,1.6,257,1.5,243,2,317,2.1,340,1.9,311,2.1,336,1.9,307,1.5,232,0.9,145,0.62,1,1.25,2,1.87,3,0.62,1,1.25,2,0,0,0,0,13.12,21,36869,73737,36869,73738,36869,73737,25403,76210,25403,76210,24953,74860,21,20,19,21,19,17,0,2,0,2,0,2,0,2,0,2
108,61136,18948,67955,25878,15,16,12,12,11,13,89,17,94,58,0.8,439,0.7,410,0.8,445,0.7,417,0.7,400,0.7,372,0.6,323,0.7,408,0.9,505,0.8,468,0.8,447,0.8,453,0.8,457,0.7,374,0.17,1,0.17,1,0,0,1.05,6,0.35,2,0.7,4,0.17,1,0,0,11598,278347,11598,278352,11567,277618,11981,275553,11823,271931,11632,267532,29,28,27,25,24,22,0,0,0,0,0,0,0,0,0,0
109,138516,29914,146458,31326,7,7,12,11,10,14,97,32,99,2,0.7,847,0.7,907,0.7,903,0.7,882,0.6,790,0.6,751,0.6,769,0.6,760,0.9,1135,0.8,1009,0.6,784,0.5,573,0.4,544,0.5,570,1.2,15,0.24,3,0.24,3,0.08,1,0.64,8,0.48,6,0.48,6,0.32,4,13234,383795,13234,383786,13234,383795,13403,375282,13310,372678,13058,365618,23,22,21,21,21,19,41,403,41,395,39,368,37,341,38,334
110,52242,19341,57237,13627,4,7,6,6,9,13,95,22,93,8,0.3,360,0.2,322,0.2,262,0.2,279,0.2,282,0.2,253,0.1,205,0.2,245,0.3,420,0.3,379,0.2,285,0.1,180,0.1,164,0.2,283,2.44,34,0.14,2,0.14,2,0.07,1,0.07,1,0.07,1,0.22,3,0.22,3,11967,167541,11906,166684,11904,166657,11924,166929,11842,165789,11842,165789,28,27,26,25,23,21,34,257,33,251,33,251,33,250,33,251
111,73875,18456,66184,15735,9,11,13,12,11,9,97,20,97,3,0.7,529,0.4,293,0.4,310,0.4,303,0.4,269,0.4,278,0.7,530,0.8,615,0.7,520,0.6,484,0.6,465,0.6,470,0.6,481,0.7,516,0.8,6,1.73,13,3.59,27,0.79,6,0,0,0.52,4,0.13,1,0.26,2,46457,1022055,50647,911646,50647,911653,50647,911653,50647,911653,50647,911653,20,24,23,22,20,18,0,0,0,0,0,0,0,0,0,0
112,61690,20990,89000,58902,15,14,21,21,15,19,97,36,97,11,0,38,0,54,0,50,0,43,0,26,0,27,0,35,0,49,0.1,140,0.1,179,0.1,165,0.1,158,0.1,117,0.1,141,0,0,0,0,0,0,0,0,0,0,0,0,0.06,1,0,0,3053,12211,3053,12212,3053,12211,3053,12211,3053,12211,3053,12211,71,70,69,68,66,64,16,104,16,104,18,104,19,104,19,103
113,61705,31076,61265,12150,20,22,24,24,20,21,83,23,87,27,0.6,846,0.7,917,0.6,866,0.5,713,0.7,901,0.5,656,0.3,441,0.4,550,0.5,603,0.6,796,0.5,610,0.6,771,0.5,715,0.5,714,0.22,3,0,0,0.15,2,0.15,2,0.22,3,0.15,2,0,0,0.07,1,14595,408657,14588,408464,14519,406523,14375,402493,14906,402449,14906,402449,37,36,35,34,33,31,25,375,22,329,23,329,23,329,23,323
