NPA,m37_2018,m37_moe_2018,m37_2017,m37_moe_2017,m80_2018,m80_2017,m80_2016,m80_2015,m80_2013,m80_2011,m38_2018,m38_moe_2018,m38_2017,m38_moe_2017,m75_2015,r75_2015,m75_2014,r75_2014,m75_2013,r75_2013,m75_2012,r75_2012,m75_2011,r75_2011,m75_2010,r75_2010,m75_2009,r75_2009,m75_2008,r75_2008,m75_2007,r75_2007,m75_2006,r75_2006,m75_2005,r75_2005,m75_2004,r75_2004,m75_2003,r75_2003,m75_2002,r75_2002,m19_2018,r19_2018,m19_2017,r19_2017,m19_2016,r19_2016,m19_2015,r19_2015,m19_2014,r19_2014,m19_2013,r19_2013,m19_2012,r19_2012,m19_2011,r19_2011,m41_2018,r41_2018,m41_2017,r41_2017,m41_2016,r41_2016,m41_2015,r41_2015,m41_2013,r41_2013,m41_2011,r41_2011,m42_2018,m42_2017,m42_2016,m42_2015,m42_2013,m42_2011,m79_2018,r79_2018,m79_2017,r79_2017,m79_2016,r79_2016,m79_2015,r79_2015,m79_2014,r79_2014
NPA,Household_Income_2018,Household_Income_moe_2018,Household_Income_2017,Household_Income_moe_2017,Public_Nutrition_Assistance_2018,Public_Nutrition_Assistance_2017,Public_Nutrition_Assistance_2016,Public_Nutrition_Assistance_2015,Public_Nutrition_Assistance_2013,Public_Nutrition_Assistance_2011,Employment_Rate_2018,Employment_Rate_moe_2018,Employment_Rate_2017,Employment_Rate_moe_2017,Job_Density_2015,Jobs_2015,Job_Density_2014,Jobs_2014,Job_Density_2013,Jobs_2013,Job_Density_2012,Jobs_2012,Job_Density_2011,Jobs_2011,Job_Density_2010,Jobs_2010,Job_Density_2009,Jobs_2009,Job_Density_2008,Jobs_2008,Job_Density_2007,Jobs_2007,Job_Density_2006,Jobs_2006,Job_Density_2005,Jobs_2005,Job_Density_2004,Jobs_2004,Job_Density_2003,Jobs_2003,Job_Density_2002,Jobs_2002,Commercial_Construction_2018,Commercial_Construction_Permitted_Units_2018,Commercial_Construction_2017,Commercial_Construction_Permitted_Units_2017,Commercial_Construction_2016,Commercial_Construction_Permitted_Units_2016,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Construction_2014,Commercial_Construction_Permitted_Units_2014,Commercial_Construction_2013,Commercial_Construction_Permitted_Units_2013,Commercial_Construction_2012,Commercial_Construction_Permitted_Units_2012,Commercial_Construction_2011,Commercial_Construction_Permitted_Units_2011,Commercial_Size_2018,Commercial_Size_Total_2018,Commercial_Size_2017,Commercial_Size_Total_2017,Commercial_Size_2016,Commercial_Size_Total_2016,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Size_2013,Commercial_Size_Total_2013,Commercial_Size_2011,Commercial_Size_Total_2011,Commercial_Building_Age_2018,Commercial_Building_Age_2017,Commercial_Building_Age_2016,Commercial_Building_Age_2015,Commercial_Building_Age_2013,Commercial_Building_Age_11,Fincancial_Services_Proximity_2018,Financial_Services_Proximate_Units_2018,Fincancial_Services_Proximity_2017,Financial_Services_Proximate_Units_2017,Fincancial_Services_Proximity_2016,Financial_Services_Proximate_Units_2016,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Fincancial_Services_Proximity_2014,Financial_Services_Proximate_Units_2014
65,58333,10491,65156,17168,4,5,4,3,4,5,96,27,98,4,0.7,256,0.3,124,0.4,134,0.4,161,0.9,341,1.1,414,0.4,161,0.5,183,0.5,174,0.4,133,0.3,122,0.2,74,0.2,76,0.2,68,1.11,4,1.39,5,3.05,11,1.11,4,0.55,2,1.39,5,0.28,1,0,0,23024,207217,12424,99392,13356,93490,12129,97029,11811,94487,11334,79340,12,13,12,11,8,7,0,0,0,0,0,0,0,0,0,0
66,37404,5307,38074,5954,5,6,6,6,8,9,95,25,93,8,13,4761,13,4755,11.9,4335,12,4377,11.3,4109,11.3,4112,11.5,4197,12.8,4660,9.6,3514,8.4,3081,9.3,3380,9.6,3493,8.5,3118,8.2,2985,4.89,18,7.34,27,7.34,27,6.02,22,4.1,15,10.67,39,4.92,18,4.65,17,42976,1719049,39726,1589040,35032,1366259,37082,1483279,35561,1493573,36825,1509824,22,21,21,20,18,17,52,706,74,998,24,324,24,324,19,234
67,62727,43416,,,5,3,5,4,12,10,94,42,96,10,0.7,71,1.2,122,0.8,77,0.8,76,0.9,92,0.7,68,0.7,73,1,99,3.6,358,2.7,270,3,299,2.6,253,2.1,212,2.3,228,1.01,1,0,0,1.01,1,0,0,0,0,1.01,1,33.34,33,0,0,4786,38284,4459,31213,4785,38281,4785,38281,4903,39227,4770,33389,17,16,15,14,12,12,0,0,0,0,0,0,0,0,0,0
68,52771,10729,51345,13185,14,15,19,18,18,16,98,19,82,5,3.6,4540,3.5,4399,3.2,4045,3,3857,4,5117,3.2,4007,2.7,3442,3,3808,3,3749,2.8,3600,2.9,3689,2.6,3269,2.5,3156,2.8,3491,1.98,25,0.95,12,1.42,18,1.42,18,0.87,11,0.95,12,1.5,19,1.02,13,40371,4117809,39736,3973600,40227,3942260,40466,3884760,40466,3884760,40931,3806572,27,27,26,25,23,22,56,630,57,642,57,642,57,642,57,642
69,218333,153708,138194,93016,0,0,0,0,1,2,99,21,96,6,1,381,1,389,1,364,0.8,310,0.8,315,0.6,224,0.3,130,0.3,130,0.2,65,0.2,62,0.2,68,0.2,90,0.2,76,0.2,91,2.11,8,1.84,7,1.05,4,2.11,8,0.79,3,3.42,13,2.37,9,1.84,7,29177,262589,29177,262593,22389,201504,17198,137580,17198,137580,24577,196615,12,11,10,10,8,8,79,566,78,560,78,560,75,478,79,597
70,27964,8441,27413,8920,42,41,46,45,37,36,100,37,96,52,1.6,476,1.8,537,1.8,520,1.7,489,0.8,243,0.8,224,1,296,0.9,265,1.1,330,1.7,494,1.7,500,1.6,488,1.6,472,1.5,448,0.68,2,2.03,6,1.69,5,0.68,2,1.35,4,2.37,7,1.01,3,1.01,3,10195,193709,9333,177327,9415,178890,9928,178698,9900,178204,9900,178204,40,40,38,39,37,35,48,247,51,263,51,264,51,264,51,265
71,47862,6598,45375,10005,19,21,26,25,28,33,85,27,93,3,0.2,59,0.2,56,0.1,50,0.1,36,0.1,36,0,17,0.1,37,0.1,34,0.1,31,0.1,42,0.1,50,0.1,46,0.2,57,0.1,35,0.28,1,0,0,0,0,0.84,3,0,0,2.25,8,16.05,57,0.28,1,4666,37329,4666,37328,4666,37329,4666,37329,4666,37329,4666,37329,43,42,41,40,38,36,77,1100,91,1295,91,1295,91,1295,91,1294
72,63184,10363,63611,12181,3,5,5,4,7,4,94,42,96,3,3.7,4240,3.2,3672,3.2,3672,3,3515,2.4,2799,2.1,2479,2.2,2583,2.3,2639,1.6,1825,0.8,898,0.3,352,0.3,359,0.3,304,0.2,262,1.46,17,2.15,25,3.35,39,0.69,8,1.46,17,1.81,21,2.06,24,2.58,30,53183,2446424,52718,2372310,54433,2395062,55647,2337155,57144,2342894,58541,2224553,13,12,11,11,9,7,25,453,20,286,26,288,24,285,24,286
73,58964,13091,62466,7649,16,18,21,21,19,22,99,18,81,18,0.5,2167,0.5,2029,0.5,1841,0.5,1870,0.3,1150,1.6,6547,0.2,917,0.3,1276,0.3,1225,0.3,1347,0.3,1423,0.3,1191,0.3,1170,0.3,1419,0.27,11,0.39,16,0.29,12,0.44,18,0.56,23,0.25,10,0.15,6,0.22,9,73820,3248076,73337,3226828,71718,3012144,74441,3126535,69888,2865410,71073,2842922,30,30,30,30,29,27,0,0,0,0,0,0,0,0,0,0
74,49857,11457,49630,7313,3,5,6,5,6,8,100,44,87,3,1.7,330,1.5,302,1.6,320,1.4,285,0.6,113,0.3,63,0.4,77,0.3,65,0.4,79,1.3,256,1.2,242,1.3,260,1.3,255,1.2,249,1.5,3,1.5,3,9.5,19,11.49,23,6.5,13,3.5,7,5.5,11,0.5,1,60726,121452,58769,117538,58769,117537,53644,107288,28579,114317,28793,115172,28,29,28,31,22,27,69,511,69,511,69,511,69,511,69,511
75,118988,59822,129205,48484,2,2,4,3,3,4,97,18,95,8,0.6,209,0.6,194,0.4,151,0.4,142,0.4,139,0.4,149,0.4,139,0.3,97,0.3,99,0.2,57,0.1,48,0,9,0,5,0.1,35,0.29,1,3.79,13,1.17,4,0,0,0.3,1,0,0,0.59,2,0.3,1,36598,36598,36598,36598,36598,36598,24040,48080,18527,55580,18527,55580,14,13,12,23,25,23,82,653,83,655,83,659,83,659,30,225
76,101513,8717,90833,11762,4,5,4,4,6,8,97,40,89,6,0.2,261,0.1,167,0.1,154,0.1,146,0.1,112,0.1,103,0.1,123,0.1,179,0.1,92,0,37,0,31,0.1,159,0.1,113,0.1,155,1.08,14,0.15,2,0.85,11,0.62,8,0.39,5,0.15,2,0.39,5,0.23,3,12224,134466,12113,121130,13403,120627,14805,118443,14805,118443,16873,118113,17,17,17,18,16,16,5,56,6,74,6,71,6,70,3,25
77,66537,9388,67146,7732,10,10,11,11,10,16,100,64,97,2,0.7,738,0.7,671,0.7,725,0.4,448,0.5,548,0.3,287,0.5,496,0.4,380,0.2,156,0.2,215,0.2,215,0.2,172,0.2,158,0.2,199,0.2,2,0.88,9,0.49,5,0.1,1,1.07,11,0.58,6,0.29,3,0.1,1,10832,238309,10911,229131,10911,229140,10915,229225,11236,224716,11588,220180,17,17,16,15,14,12,48,1066,49,1097,49,1098,49,1098,48,1024
78,72361,17433,70642,18907,9,9,12,11,12,12,92,41,94,3,7.4,4680,6.4,4007,6.8,4273,7.4,4688,6.8,4307,6.2,3911,5.1,3224,6,3759,6,3790,6.2,3927,5.1,3236,4.8,3046,4.4,2794,5.7,3563,1.89,12,2.68,17,3.47,22,4.12,26,2.7,17,0.95,6,4.28,27,1.9,12,55423,2604862,54676,2515096,55684,2561479,56408,2538363,56408,2538363,56917,2447428,20,20,19,18,16,14,57,522,99,906,99,912,98,894,68,606
79,25429,5439,34938,7943,26,26,40,39,29,43,93,14,94,28,0.4,27,0.5,39,0.6,42,0.5,34,0.4,31,0.4,29,0.4,29,0.3,20,0.3,20,0.3,21,0.3,21,0.4,27,0.3,20,0.1,5,194.16,142,105.28,77,0,0,4.1,3,13.67,10,5.47,4,2.73,2,0,0,2844,17061,2844,17064,3079,15395,3079,15395,2836,17015,2836,17015,31,30,26,25,26,24,0,0,0,0,0,0,0,0,0,0
80,45889,11678,44300,22311,8,9,10,9,9,12,84,26,97,8,0.1,45,0.1,45,0.1,55,0.1,56,0.1,56,0.1,73,0.1,69,0.1,55,0.2,136,0.1,97,0.1,95,0.1,98,0.1,68,0.1,54,0.15,1,0.87,6,1.16,8,1.02,7,0,0,0,0,0.15,1,0.15,1,5186,20742,5250,21000,5250,20998,5250,20998,5250,20998,5250,20998,14,20,19,18,16,14,0,0,0,0,0,0,0,0,0,0
81,97685,54482,63015,25556,6,6,7,6,5,9,100,49,92,9,0.7,141,0.8,160,0.7,144,0.8,146,1.7,325,1.4,270,1.3,246,1.4,270,2,390,0.5,103,0.5,104,0.6,116,0.6,107,0.6,113,0,0,0,0,2.62,5,1.03,2,1.03,2,0,0,0,0,0,0,6955,13909,6955,13910,6955,13909,6955,13909,12330,12330,12330,12330,15,14,13,12,5,3,52,241,56,259,54,247,50,228,10,44
82,78750,23510,75455,24070,6,6,6,8,7,9,87,29,98,2,1.3,477,0.8,288,0.6,236,0.6,236,1.1,425,0.6,211,0.9,329,0.9,344,0.5,206,0.4,150,0.4,154,0.4,135,0.1,31,0.4,141,0.27,1,1.34,5,1.34,5,0.79,3,3.42,13,0.53,2,2.63,10,0.26,1,16244,178687,13313,146443,13313,146445,14177,141771,14177,141771,15652,140871,13,14,13,13,11,9,51,601,48,555,49,555,39,353,39,353
83,48443,12298,34474,22242,43,47,59,59,52,29,97,47,93,10,0.2,434,0.2,424,0.2,573,0.2,533,0.1,308,0.1,229,0.1,317,0.2,379,0.1,279,0.1,305,0.1,277,0.1,271,0.1,248,0.1,273,0.08,2,0,0,0.04,1,0.13,3,0.33,8,0,0,0.13,3,0.17,4,43150,215751,47640,190560,52464,209854,47640,190559,47640,190559,48840,195359,52,54,53,52,50,47,0,0,0,0,0,0,0,0,0,0
84,66136,44287,29821,23183,5,14,13,11,15,14,100,51,100,0,0.1,161,0.1,162,0,107,0.1,315,0,93,0,42,0,39,0,37,0,45,0,47,0,115,0.1,160,0.1,208,0,95,0.2,5,0.28,7,0.12,3,0.4,10,0.08,2,0.12,3,0.04,1,0.08,2,22921,183365,24403,219627,24403,219629,24403,219629,24389,219503,20709,165673,47,45,44,43,41,36,0,0,0,0,0,0,0,0,0,0
85,30057,14713,20417,11052,48,51,62,58,54,54,99,17,83,7,0.9,241,0.9,235,0.9,242,1,273,0.4,102,0.2,53,0.3,77,0.1,39,0.2,52,1.6,450,1.4,392,1.4,383,1.4,374,1.2,335,0.36,1,0.73,2,0.36,1,0,0,0.73,2,0.73,2,1.09,3,1.09,3,2679,42861,2691,43056,2691,43057,2691,43057,2691,43057,2691,43057,67,66,65,64,62,60,29,220,32,246,32,249,32,250,32,252
86,29926,7709,32266,11125,22,23,33,30,31,40,97,39,94,1,0.4,43,0.5,53,0.6,59,0.6,60,0.4,35,0.6,59,0.6,56,0.7,69,0.5,47,0.4,43,0.4,37,0.3,31,0.5,46,0.2,21,1.01,1,41.39,41,81.76,81,134.25,133,29.27,29,0,0,1.01,1,1.01,1,3783,45397,3783,45396,3783,45397,3783,45397,3783,45397,3783,45397,42,41,40,39,37,35,0,4,2,22,2,22,2,22,2,22
87,51910,33304,66908,18835,12,14,26,25,36,38,100,30,89,10,2.3,447,2.4,472,2.4,477,2.2,437,1,203,0.6,118,0.8,162,0.9,172,0.9,173,1.2,244,1.3,247,1.6,307,1.4,276,1.6,306,12.77,25,15.32,30,15.32,30,7.66,15,2.55,5,2.55,5,4.08,8,3.57,7,3648,65666,3648,65664,3648,65666,3648,65666,3277,55709,3277,55709,48,47,46,45,42,40,38,263,37,249,36,248,36,248,36,249
88,47609,10695,37333,15692,44,49,61,59,45,50,98,33,79,7,0.6,240,0.6,243,0.4,166,0.5,224,0.6,274,0.6,256,1.6,684,1.4,605,1.2,500,1.4,582,1.3,562,1.2,534,1.3,555,1.3,569,0.47,2,0.47,2,0.93,4,0.7,3,0.7,3,0.7,3,0.93,4,2.79,12,15885,794243,12428,621400,12229,611473,12127,594241,11861,604890,11267,608410,57,56,56,55,54,52,0,0,0,0,0,0,0,0,0,0
89,59167,22204,54453,19280,20,22,26,25,19,20,100,21,96,36,0.2,41,0.1,29,0.1,35,0.1,35,0.1,31,0.1,32,0.1,23,0.1,32,0.2,39,0.1,27,0.1,28,0.1,17,0.1,24,0.1,15,0,0,0,0,0,0,0.42,1,0.84,2,0,0,0.42,1,0,0,1402,2804,1402,2804,1402,2804,1402,2804,1402,2804,1402,2804,31,30,29,28,26,24,0,0,0,0,0,0,0,0,0,0
90,41250,7407,41667,8358,18,20,30,29,25,30,97,20,91,17,0.8,187,0.7,171,0.6,153,0.7,173,0.7,176,0.6,141,0.6,141,0.7,166,0.7,176,0.5,122,0.5,122,0.5,121,0.7,165,0.6,144,0.4,1,0,0,0.4,1,0.8,2,0.4,1,0.8,2,7.2,18,0.8,2,4458,98079,4458,98076,4458,98079,4462,98169,4458,98079,4458,98079,42,41,40,39,37,35,67,559,68,559,68,559,68,559,68,559
91,46471,16336,47010,24200,17,20,23,22,20,23,96,27,99,3,0.1,23,0.1,24,0.1,28,0.1,29,1,278,0.8,223,0.8,239,0.8,220,0.6,168,0.6,170,0.7,203,0.7,209,0.7,203,0.7,202,0,0,0,0,0.35,1,0,0,0,0,0.71,2,0,0,0,0,1434,1434,1434,1434,1434,1434,1434,1434,1434,1434,1434,1434,17,16,15,14,12,10,0,0,0,0,0,0,0,0,0,0
92,68542,10898,65568,6963,5,6,6,6,5,6,98,47,95,2,10,2705,10.8,2920,9.6,2592,7.9,2140,9.6,2580,6.5,1756,5.8,1573,6.6,1783,6.6,1781,5.8,1567,6.1,1654,5.9,1592,6,1633,6.6,1773,5.88,16,6.25,17,5.14,14,7.41,20,3.33,9,5.56,15,9.63,26,1.85,5,42746,1624351,40901,1513337,36760,1323374,36668,1320044,38341,1303577,40406,1212183,15,15,14,13,12,11,100,1476,100,1344,100,1344,100,1330,100,1058
93,38125,4992,41507,7622,16,18,24,24,21,24,98,56,100,0,8,4656,7.5,4399,8,4694,8,4710,7.5,4377,7.5,4396,8.3,4836,8.2,4807,7.6,4464,7.6,4440,8.7,5119,8.2,4807,9,5271,9.2,5364,3.07,18,2.9,17,4.27,25,4.78,28,3.41,20,1.54,9,2.39,14,7.17,42,71381,2641082,71381,2641097,71305,2566981,71361,2640345,73317,2639395,69527,2502965,28,27,27,25,24,22,100,621,67,420,67,420,67,420,67,420
94,30750,10554,32417,8417,26,30,37,36,34,36,96,26,81,9,4.4,2883,3.9,2550,4.2,2767,4.4,2897,3.3,2133,2.6,1686,3.3,2197,3.8,2477,4.2,2744,4.3,2822,4.3,2847,3.9,2575,3.9,2583,3.8,2523,1.07,7,1.98,13,1.68,11,3.96,26,1.83,12,1.37,9,1.52,10,2.74,18,42176,1518326,42349,1566913,42349,1566926,42349,1566926,42349,1566926,42349,1566926,28,28,27,26,24,22,0,0,0,0,0,0,0,0,0,0
95,72350,16935,63854,11513,10,12,10,10,8,11,80,18,95,4,10.1,4499,6.7,2958,7.8,3476,7.9,3529,8.3,3688,7.8,3454,7.9,3509,8.3,3703,6.3,2811,6.8,3001,7,3120,6.7,2971,5.8,2578,6.6,2920,7.24,32,3.39,15,7.69,34,5.19,23,4.96,22,4.73,21,3.61,16,3.61,16,66341,1990241,66341,1990230,66340,1990197,66308,1989244,66308,1989244,68604,1989525,17,16,15,14,12,10,58,391,59,395,59,395,59,395,59,395
96,64163,6562,61568,9293,8,9,11,11,13,14,96,15,95,2,5.1,3662,4.3,3114,4.5,3245,3.8,2782,3.6,2567,3.6,2591,3.6,2636,3.9,2795,3.5,2535,3.7,2673,3.4,2432,2.1,1533,1.6,1147,2.1,1495,2.64,19,0.83,6,1.67,12,1.66,12,2.76,20,1.38,10,1.94,14,2.63,19,25909,829093,25909,829088,26640,825852,26604,824716,27988,811643,27310,791981,14,13,12,12,10,8,0,9,42,801,40,741,39,698,28,433
97,58796,10563,73355,28484,6,6,8,8,10,11,91,51,93,6,0.3,157,0.3,162,0.2,125,0.2,132,0.2,99,0.1,39,0.1,36,0.1,46,0.1,33,0.1,29,0,16,0,19,0,16,0,16,1.46,8,0.36,2,0.18,1,0.37,2,0.18,1,0.18,1,0,0,0.55,3,8482,25446,8482,25446,8482,25446,8482,25446,8482,25446,8482,25446,33,32,32,30,29,26,13,216,15,241,13,201,13,198,13,198
98,49429,18243,64137,6141,14,19,18,18,16,19,93,24,90,40,0.1,136,0.1,112,0,79,0.1,86,0,69,0,67,0.1,82,0.1,110,0.1,104,0.1,93,0,75,0.1,83,0,79,0,71,0.06,1,0.12,2,0,0,0,0,0,0,0,0,0.06,1,0.06,1,6090,30452,6090,30450,6090,30452,6067,30337,6067,30337,5280,31681,45,44,43,42,40,33,0,1,1,7,1,7,1,7,1,7
99,65917,17317,68194,17658,14,15,19,18,16,15,96,26,92,46,0.9,369,0.9,374,0.7,285,0.8,305,0.2,82,0.1,22,0.1,47,0.1,35,0.1,22,0.6,248,0.6,221,0.6,238,0.8,329,0.6,221,0.25,1,1.26,5,0,0,0.25,1,0.25,1,1.26,5,0,0,0,0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,64,63,62,61,59,57,11,70,19,124,19,124,19,124,19,124
100,36920,6674,33931,4301,31,34,45,43,39,34,100,39,94,9,2.6,1868,2.6,1843,2.4,1737,2.4,1701,2.2,1587,1.9,1367,2.1,1497,2.4,1718,2.5,1810,2.7,1931,2.4,1696,2.2,1611,2.4,1720,3.5,2487,0.56,4,0.56,4,0.56,4,0.97,7,0.84,6,0.7,5,0.56,4,0.7,5,15335,1349491,15335,1349480,15488,1347469,15174,1320129,15146,1317709,15158,1303593,30,29,28,27,25,24,0,0,0,0,28,195,28,197,28,197
101,29000,7657,30625,7684,28,30,34,34,31,35,90,27,93,2,0.5,68,0.3,35,0.2,31,0.3,32,0.1,14,0.1,10,0.1,10,0,5,0.1,8,0.1,18,0.2,20,0.1,13,0.1,9,0.1,14,0,0,0,0,0.79,1,1.58,2,11.07,14,13.44,17,16.61,21,16.61,21,4843,24215,4843,24215,3583,17915,3672,18359,3672,18359,3715,14859,46,45,44,43,41,49,41,298,41,301,41,302,41,302,41,302
102,32917,25448,40375,22065,24,27,30,29,32,35,95,27,84,4,0.2,44,0.2,39,0.2,35,0.2,38,0.2,41,0.2,41,0.2,44,0.2,33,0.2,40,0.7,141,0.7,130,0.6,121,0.7,141,0.7,130,0,0,1.52,3,12.18,24,0,0,0,0,0,0,0,0,0,0,3862,27037,3730,22380,3730,22377,3730,22377,3730,22377,3777,18884,42,45,45,43,41,36,0,0,0,0,0,0,0,0,0,0
