GEOID,coordinates
371190016081,"[[[-80.775653, 35.236789], [-80.77913, 35.241279], [-80.780691, 35.244679], [-80.769301, 35.241145], [-80.759239, 35.237858], [-80.759652, 35.236944], [-80.760564, 35.234544], [-80.763629, 35.235028], [-80.769116, 35.234161], [-80.770559, 35.234417], [-80.775653, 35.236789]]]"
371190017011,"[[[-80.785349, 35.203809], [-80.787159, 35.203175], [-80.789795, 35.207468], [-80.797892, 35.211362], [-80.795159, 35.213049], [-80.791288, 35.21224], [-80.788803, 35.216573], [-80.786649, 35.216141], [-80.780725, 35.215613], [-80.780878, 35.214192], [-80.783475, 35.207822], [-80.785051, 35.204514], [-80.785349, 35.203809]]]"
371190018012,"[[[-80.79127, 35.196716], [-80.791564, 35.196469], [-80.793092, 35.195372], [-80.796511, 35.196798], [-80.801118, 35.200954], [-80.807251, 35.204322], [-80.804968, 35.203331], [-80.800778, 35.203482], [-80.796702, 35.200327], [-80.791064, 35.203118], [-80.786119, 35.201915], [-80.79127, 35.196716]]]"
371190019102,"[[[-80.736545, 35.186707], [-80.739246, 35.189761], [-80.74307, 35.191712], [-80.743276, 35.193848], [-80.743833, 35.194791], [-80.741654, 35.198267], [-80.741604, 35.198339], [-80.741482, 35.198548], [-80.741373, 35.198695], [-80.741283, 35.198868], [-80.739187, 35.198875], [-80.73942, 35.196737], [-80.736506, 35.19737], [-80.731382, 35.197434], [-80.736667, 35.188763], [-80.736581, 35.188537], [-80.73574, 35.187219], [-80.736144, 35.187018], [-80.736545, 35.186707]]]"
371190019121,"[[[-80.736312, 35.210419], [-80.733927, 35.206323], [-80.734631, 35.202801], [-80.741152, 35.203099], [-80.741549, 35.205508], [-80.740362, 35.207788], [-80.737135, 35.211188], [-80.73649, 35.214603], [-80.737442, 35.218724], [-80.735795, 35.223082], [-80.728917, 35.222726], [-80.730496, 35.217733], [-80.733794, 35.211894], [-80.736135, 35.211736], [-80.736312, 35.210419]]]"
371190019124,"[[[-80.725949, 35.202503], [-80.727623, 35.202356], [-80.734631, 35.202801], [-80.733927, 35.206323], [-80.736312, 35.210419], [-80.730637, 35.21258], [-80.729844, 35.209976], [-80.726044, 35.208118], [-80.725949, 35.202503]]]"
371190039024,"[[[-80.899057, 35.200117], [-80.904255, 35.19816], [-80.906356, 35.196809], [-80.909026, 35.193774], [-80.914977, 35.193364], [-80.916118, 35.194414], [-80.916595, 35.194454], [-80.917032, 35.19447], [-80.917256, 35.194411], [-80.917608, 35.194216], [-80.917713, 35.194202], [-80.917988, 35.194248], [-80.918122, 35.194344], [-80.91716, 35.195569], [-80.91388, 35.199216], [-80.91122, 35.203246], [-80.908026, 35.206924], [-80.903085, 35.211093], [-80.89759, 35.211575], [-80.896998, 35.207048], [-80.896526, 35.203385], [-80.899057, 35.200117]]]"
371190039031,"[[[-80.918122, 35.194344], [-80.921576, 35.189703], [-80.923921, 35.190217], [-80.929171, 35.189837], [-80.933317, 35.193883], [-80.935634, 35.197072], [-80.93325, 35.196982], [-80.930823, 35.198335], [-80.927137, 35.203502], [-80.925589, 35.204798], [-80.921031, 35.206445], [-80.922239, 35.210147], [-80.912602, 35.209114], [-80.91122, 35.203246], [-80.91388, 35.199216], [-80.91716, 35.195569], [-80.918122, 35.194344]]]"
371190039032,"[[[-80.900394, 35.222341], [-80.904894, 35.221641], [-80.909894, 35.218641], [-80.911994, 35.216042], [-80.912994, 35.212442], [-80.912602, 35.209114], [-80.922239, 35.210147], [-80.921031, 35.206445], [-80.925589, 35.204798], [-80.927137, 35.203502], [-80.929033, 35.208005], [-80.927752, 35.214056], [-80.923069, 35.215688], [-80.924714, 35.224852], [-80.915894, 35.225841], [-80.911761, 35.22407], [-80.908794, 35.222741], [-80.900394, 35.222341]]]"
371190040003,"[[[-80.896375, 35.222341], [-80.89869, 35.222365], [-80.899661, 35.222341], [-80.900394, 35.222341], [-80.908794, 35.222741], [-80.911761, 35.22407], [-80.90836, 35.228384], [-80.91082, 35.229427], [-80.91021, 35.230874], [-80.897189, 35.231637], [-80.896314, 35.230427], [-80.89743, 35.228506], [-80.897883, 35.224496], [-80.896505, 35.224442], [-80.896486, 35.223371], [-80.896375, 35.222341]]]"
